Year,State,County,BirthRate
2015,Alabama,Autauga,23.982563
2015,Alabama,Baldwin,27.831022
2015,Alabama,Barbour,39.621689
2015,Alabama,Bibb,37.719905
2015,Alabama,Blount,34.525199
2015,Alabama,Bullock,51.103272
2015,Alabama,Butler,37.601336
2015,Alabama,Calhoun,33.771022
2015,Alabama,Chambers,46.32099
2015,Alabama,Cherokee,35.438104
2015,Alabama,Chilton,43.101091
2015,Alabama,Choctaw,26.750691
2015,Alabama,Clarke,33.31253
2015,Alabama,Clay,34.379338
2015,Alabama,Cleburne,34.679682
2015,Alabama,Coffee,24.118533
2015,Alabama,Colbert,30.716
2015,Alabama,Conecuh,36.99642
2015,Alabama,Coosa,32.613443
2015,Alabama,Covington,44.53835
2015,Alabama,Crenshaw,38.318684
2015,Alabama,Cullman,41.848795
2015,Alabama,Dale,29.500065
2015,Alabama,Dallas,41.090192
2015,Alabama,DeKalb,37.866381
2015,Alabama,Elmore,27.396421
2015,Alabama,Escambia,42.616685
2015,Alabama,Etowah,38.444545
2015,Alabama,Fayette,34.036429
2015,Alabama,Franklin,40.097209
2015,Alabama,Geneva,39.684655
2015,Alabama,Greene,33.647281
2015,Alabama,Hale,30.325943
2015,Alabama,Henry,29.2608
2015,Alabama,Houston,33.425027
2015,Alabama,Jackson,36.006187
2015,Alabama,Jefferson,27.871829
2015,Alabama,Lamar,35.901643
2015,Alabama,Lauderdale,21.600876
2015,Alabama,Lawrence,35.55291
2015,Alabama,Lee,16.352063
2015,Alabama,Limestone,24.64444
2015,Alabama,Lowndes,35.287642
2015,Alabama,Macon,21.853375
2015,Alabama,Madison,19.545374
2015,Alabama,Marengo,30.130122
2015,Alabama,Marion,39.738196
2015,Alabama,Marshall,42.930973
2015,Alabama,Mobile,34.133731
2015,Alabama,Monroe,37.076253
2015,Alabama,Montgomery,34.586939
2015,Alabama,Morgan,36.498447
2015,Alabama,Perry,29.911691
2015,Alabama,Pickens,30.815264
2015,Alabama,Pike,19.141874
2015,Alabama,Randolph,38.813974
2015,Alabama,Russell,38.063933
2015,Alabama,St. Clair,30.332527
2015,Alabama,Shelby,15.325253
2015,Alabama,Sumter,23.615731
2015,Alabama,Talladega,32.741
2015,Alabama,Tallapoosa,39.423994
2015,Alabama,Tuscaloosa,20.784318
2015,Alabama,Walker,43.243912
2015,Alabama,Washington,28.544827
2015,Alabama,Wilcox,35.655812
2015,Alabama,Winston,36.152485
