Year,State,County,BirthRate
2015,Alaska,Aleutians East,23.909764
2015,Alaska,Aleutians West,15.140434
2015,Alaska,Anchorage,24.554137
2015,Alaska,Bethel,57.420915
2015,Alaska,Bristol Bay,26.075145
2015,Alaska,Denali,13.218079
2015,Alaska,Dillingham,38.250207
2015,Alaska,Fairbanks North Star,26.176976
2015,Alaska,Haines,10.8662
2015,Alaska,Juneau,15.848278
2015,Alaska,Kenai Peninsula,19.707986
2015,Alaska,Kodiak Island,19.770284
2015,Alaska,Lake and Peninsula,30.097835
2015,Alaska,Matanuska-Susitna,20.295192
2015,Alaska,Nome,62.336379
2015,Alaska,North Slope,56.327998
2015,Alaska,Northwest Arctic,66.558939
2015,Alaska,Prince of Wales-Hyder,20.028659
2015,Alaska,Sitka,17.749029
2015,Alaska,Skagway,17.127127
2015,Alaska,Southeast Fairbanks,27.131453
2015,Alaska,Valdez-Cordova,13.680267
2015,Alaska,Wade Hampton,79.048078
2015,Alaska,Yakutat,20.645979
2015,Alaska,Yukon-Koyukuk,36.241539
2015,Alaska,Hoonah-Angoon,17.12713
2015,Alaska,Ketchikan Gateway,20.02866
