Year,State,County,BirthRate
2015,Arkansas,Arkansas,46.92657
2015,Arkansas,Ashley,45.146717
2015,Arkansas,Baxter,33.77472
2015,Arkansas,Benton,27.784988
2015,Arkansas,Boone,39.526955
2015,Arkansas,Bradley,41.843754
2015,Arkansas,Calhoun,27.684846
2015,Arkansas,Carroll,43.829033
2015,Arkansas,Chicot,46.255683
2015,Arkansas,Clark,16.270757
2015,Arkansas,Clay,47.765355
2015,Arkansas,Cleburne,33.678523
2015,Arkansas,Cleveland,28.912864
2015,Arkansas,Columbia,30.764313
2015,Arkansas,Conway,42.709379
2015,Arkansas,Craighead,35.137298
2015,Arkansas,Crawford,40.505356
2015,Arkansas,Crittenden,53.851418
2015,Arkansas,Cross,44.588518
2015,Arkansas,Dallas,32.145104
2015,Arkansas,Desha,45.747644
2015,Arkansas,Drew,28.256762
2015,Arkansas,Faulkner,24.648918
2015,Arkansas,Franklin,34.967835
2015,Arkansas,Fulton,38.229992
2015,Arkansas,Garland,38.006668
2015,Arkansas,Grant,28.189043
2015,Arkansas,Greene,48.281138
2015,Arkansas,Hempstead,57.145729
2015,Arkansas,Hot Spring,39.162791
2015,Arkansas,Howard,39.854958
2015,Arkansas,Independence,35.87456
2015,Arkansas,Izard,35.944691
2015,Arkansas,Jackson,52.947089
2015,Arkansas,Jefferson,44.591908
2015,Arkansas,Johnson,40.72482
2015,Arkansas,Lafayette,39.892956
2015,Arkansas,Lawrence,31.371691
2015,Arkansas,Lee,41.465536
2015,Arkansas,Lincoln,33.46183
2015,Arkansas,Little River,33.217777
2015,Arkansas,Logan,44.69048
2015,Arkansas,Lonoke,29.915141
2015,Arkansas,Madison,38.736665
2015,Arkansas,Marion,40.668809
2015,Arkansas,Miller,50.049523
2015,Arkansas,Mississippi,61.867481
2015,Arkansas,Monroe,44.276712
2015,Arkansas,Montgomery,34.587881
2015,Arkansas,Nevada,42.43563
2015,Arkansas,Newton,30.398256
2015,Arkansas,Ouachita,44.845296
2015,Arkansas,Perry,29.185776
2015,Arkansas,Phillips,66.354688
2015,Arkansas,Pike,29.09593
2015,Arkansas,Poinsett,53.304045
2015,Arkansas,Polk,40.713839
2015,Arkansas,Pope,29.587886
2015,Arkansas,Prairie,33.952559
2015,Arkansas,Pulaski,34.304831
2015,Arkansas,Randolph,40.185071
2015,Arkansas,St. Francis,70.202907
2015,Arkansas,Saline,24.415695
2015,Arkansas,Scott,47.363207
2015,Arkansas,Searcy,32.217724
2015,Arkansas,Sebastian,39.331576
2015,Arkansas,Sevier,50.020558
2015,Arkansas,Sharp,42.483347
2015,Arkansas,Stone,39.652372
2015,Arkansas,Union,46.580011
2015,Arkansas,Van Buren,42.395282
2015,Arkansas,Washington,26.047615
2015,Arkansas,White,33.315002
2015,Arkansas,Woodruff,48.363163
2015,Arkansas,Yell,48.395118
