Year,State,County,BirthRate
2015,California,Alameda,11.32123
2015,California,Alpine,21.737451
2015,California,Amador,17.096285
2015,California,Butte,18.235249
2015,California,Calaveras,13.651247
2015,California,Colusa,31.478068
2015,California,Contra Costa,11.294767
2015,California,Del Norte,42.555413
2015,California,El Dorado,10.005827
2015,California,Fresno,33.089067
2015,California,Glenn,29.883651
2015,California,Humboldt,16.435371
2015,California,Imperial,41.929256
2015,California,Inyo,28.459425
2015,California,Kern,38.142441
2015,California,Kings,36.012945
2015,California,Lake,32.211157
2015,California,Lassen,23.218635
2015,California,Los Angeles,18.385657
2015,California,Madera,37.172331
2015,California,Marin,6.854043
2015,California,Mariposa,18.324407
2015,California,Mendocino,27.100782
2015,California,Merced,30.960308
2015,California,Modoc,23.234986
2015,California,Mono,19.160015
2015,California,Monterey,31.320218
2015,California,Napa,15.296627
2015,California,Nevada,12.61421
2015,California,Orange,13.468174
2015,California,Placer,8.479932
2015,California,Plumas,19.478293
2015,California,Riverside,21.511761
2015,California,Sacramento,19.877018
2015,California,San Benito,22.827538
2015,California,San Bernardino,26.348529
2015,California,San Diego,17.594225
2015,California,San Francisco,9.098038
2015,California,San Joaquin,23.639468
2015,California,San Luis Obispo,12.312964
2015,California,San Mateo,11.0609
2015,California,Santa Barbara,21.214485
2015,California,Santa Clara,11.576069
2015,California,Santa Cruz,13.966061
2015,California,Shasta,25.059319
2015,California,Sierra,14.355892
2015,California,Siskiyou,28.682068
2015,California,Solano,17.600817
2015,California,Sonoma,11.92016
2015,California,Stanislaus,27.253276
2015,California,Sutter,22.454996
2015,California,Tehama,32.276785
2015,California,Trinity,23.455581
2015,California,Tulare,36.219597
2015,California,Tuolumne,18.06751
2015,California,Ventura,17.85728
2015,California,Yolo,10.742142
2015,California,Yuba,33.588003
