Year,State,County,BirthRate
2015,Colorado,Adams,27.513594
2015,Colorado,Alamosa,28.100403
2015,Colorado,Arapahoe,19.25151
2015,Colorado,Archuleta,22.464593
2015,Colorado,Baca,33.830194
2015,Colorado,Bent,40.81702
2015,Colorado,Boulder,8.091086
2015,Colorado,Broomfield,11.119458
2015,Colorado,Chaffee,19.667298
2015,Colorado,Cheyenne,15.27597
2015,Colorado,Clear Creek,12.596415
2015,Colorado,Conejos,32.966077
2015,Colorado,Costilla,31.200053
2015,Colorado,Crowley,45.249575
2015,Colorado,Custer,20.770948
2015,Colorado,Delta,32.401801
2015,Colorado,Denver,29.319712
2015,Colorado,Dolores,23.374149
2015,Colorado,Douglas,4.931114
2015,Colorado,Eagle,21.599909
2015,Colorado,Elbert,9.127567
2015,Colorado,El Paso,21.389131
2015,Colorado,Fremont,31.465948
2015,Colorado,Garfield,30.507337
2015,Colorado,Gilpin,9.269096
2015,Colorado,Grand,13.705712
2015,Colorado,Gunnison,9.53271
2015,Colorado,Hinsdale,16.168549
2015,Colorado,Huerfano,33.719027
2015,Colorado,Jackson,16.346614
2015,Colorado,Jefferson,11.36184
2015,Colorado,Kiowa,24.047174
2015,Colorado,Kit Carson,29.647808
2015,Colorado,Lake,35.499915
2015,Colorado,La Plata,14.06358
2015,Colorado,Larimer,12.599481
2015,Colorado,Las Animas,35.344146
2015,Colorado,Lincoln,26.190543
2015,Colorado,Logan,24.893905
2015,Colorado,Mesa,28.711292
2015,Colorado,Mineral,22.386315
2015,Colorado,Moffat,36.991097
2015,Colorado,Montezuma,37.653935
2015,Colorado,Montrose,29.026498
2015,Colorado,Morgan,34.242217
2015,Colorado,Otero,38.20207
2015,Colorado,Ouray,11.301414
2015,Colorado,Park,8.095641
2015,Colorado,Phillips,26.248082
2015,Colorado,Pitkin,5.879183
2015,Colorado,Prowers,40.46428
2015,Colorado,Pueblo,30.498901
2015,Colorado,Rio Blanco,21.803482
2015,Colorado,Rio Grande,39.900603
2015,Colorado,Routt,9.318731
2015,Colorado,Saguache,35.013249
2015,Colorado,San Juan,24.54541
2015,Colorado,San Miguel,13.564581
2015,Colorado,Sedgwick,24.453164
2015,Colorado,Summit,18.161691
2015,Colorado,Teller,16.613505
2015,Colorado,Washington,25.058493
2015,Colorado,Weld,24.304607
2015,Colorado,Yuma,31.208321
