Year,State,County,BirthRate
2015,Florida,Alachua,13.06254
2015,Florida,Baker,41.93689
2015,Florida,Bay,36.824822
2015,Florida,Bradford,46.683166
2015,Florida,Brevard,18.65297
2015,Florida,Broward,14.547071
2015,Florida,Calhoun,41.207259
2015,Florida,Charlotte,22.318991
2015,Florida,Citrus,29.424739
2015,Florida,Clay,19.520676
2015,Florida,Collier,21.814737
2015,Florida,Columbia,43.730248
2015,Florida,DeSoto,44.081905
2015,Florida,Dixie,41.129118
2015,Florida,Duval,27.778115
2015,Florida,Escambia,29.289226
2015,Florida,Flagler,19.339181
2015,Florida,Franklin,58.164995
2015,Florida,Gadsden,38.55642
2015,Florida,Gilchrist,34.212161
2015,Florida,Glades,29.206497
2015,Florida,Gulf,34.32583
2015,Florida,Hamilton,49.160755
2015,Florida,Hardee,55.586597
2015,Florida,Hendry,46.463398
2015,Florida,Hernando,20.23147
2015,Florida,Highlands,35.251996
2015,Florida,Hillsborough,23.338862
2015,Florida,Holmes,48.487105
2015,Florida,Indian River,23.133742
2015,Florida,Jackson,35.891823
2015,Florida,Jefferson,31.789939
2015,Florida,Lafayette,39.377377
2015,Florida,Lake,27.247759
2015,Florida,Lee,23.818144
2015,Florida,Leon,11.114405
2015,Florida,Levy,33.973561
2015,Florida,Liberty,50.388869
2015,Florida,Madison,37.66441
2015,Florida,Manatee,29.929005
2015,Florida,Marion,31.758565
2015,Florida,Martin,18.502453
2015,Florida,Miami-Dade,16.107157
2015,Florida,Monroe,20.906556
2015,Florida,Nassau,25.075772
2015,Florida,Okaloosa,28.672649
2015,Florida,Okeechobee,51.690921
2015,Florida,Orange,19.465392
2015,Florida,Osceola,28.362037
2015,Florida,Palm Beach,16.405886
2015,Florida,Pasco,23.430248
2015,Florida,Pinellas,20.384554
2015,Florida,Polk,30.28127
2015,Florida,Putnam,49.262921
2015,Florida,St. Johns,11.996913
2015,Florida,St. Lucie,22.092196
2015,Florida,Santa Rosa,25.803395
2015,Florida,Sarasota,17.475858
2015,Florida,Seminole,12.784115
2015,Florida,Sumter,45.739345
2015,Florida,Suwannee,39.651094
2015,Florida,Taylor,48.360639
2015,Florida,Union,45.380345
2015,Florida,Volusia,22.850667
2015,Florida,Wakulla,26.891211
2015,Florida,Walton,36.870012
2015,Florida,Washington,38.243539
