Year,State,County,BirthRate
2015,Georgia,Appling,56.596475
2015,Georgia,Atkinson,71.461138
2015,Georgia,Bacon,47.028266
2015,Georgia,Baker,27.480721
2015,Georgia,Baldwin,17.409727
2015,Georgia,Banks,32.458734
2015,Georgia,Barrow,27.633017
2015,Georgia,Bartow,32.553803
2015,Georgia,Ben Hill,60.917592
2015,Georgia,Berrien,49.730006
2015,Georgia,Bibb,41.175386
2015,Georgia,Bleckley,20.926013
2015,Georgia,Brantley,45.850462
2015,Georgia,Brooks,42.777704
2015,Georgia,Bryan,23.590535
2015,Georgia,Bulloch,16.469625
2015,Georgia,Burke,45.149321
2015,Georgia,Butts,45.628189
2015,Georgia,Calhoun,50.356884
2015,Georgia,Camden,30.889207
2015,Georgia,Candler,46.613168
2015,Georgia,Carroll,30.98507
2015,Georgia,Catoosa,30.144026
2015,Georgia,Charlton,43.243813
2015,Georgia,Chatham,25.026088
2015,Georgia,Chattahoochee,31.450446
2015,Georgia,Chattooga,53.826674
2015,Georgia,Cherokee,13.377375
2015,Georgia,Clarke,13.358069
2015,Georgia,Clay,44.927022
2015,Georgia,Clayton,29.787976
2015,Georgia,Clinch,63.292548
2015,Georgia,Cobb,16.24454
2015,Georgia,Coffee,52.907781
2015,Georgia,Colquitt,50.334852
2015,Georgia,Columbia,12.471736
2015,Georgia,Cook,50.865285
2015,Georgia,Coweta,22.195761
2015,Georgia,Crawford,24.934629
2015,Georgia,Crisp,54.094934
2015,Georgia,Dade,23.184454
2015,Georgia,Dawson,27.060223
2015,Georgia,Decatur,56.643415
2015,Georgia,DeKalb,26.081593
2015,Georgia,Dodge,47.360737
2015,Georgia,Dooly,38.113613
2015,Georgia,Dougherty,42.213709
2015,Georgia,Douglas,23.821327
2015,Georgia,Early,44.293539
2015,Georgia,Echols,24.485626
2015,Georgia,Effingham,22.616484
2015,Georgia,Elbert,42.125009
2015,Georgia,Emanuel,54.738982
2015,Georgia,Evans,59.92343
2015,Georgia,Fannin,34.918768
2015,Georgia,Fayette,7.792859
2015,Georgia,Floyd,30.037768
2015,Georgia,Forsyth,8.344653
2015,Georgia,Franklin,45.299977
2015,Georgia,Fulton,21.584209
2015,Georgia,Gilmer,45.248634
2015,Georgia,Glascock,34.367508
2015,Georgia,Glynn,41.983147
2015,Georgia,Gordon,39.124702
2015,Georgia,Grady,51.440948
2015,Georgia,Greene,41.058729
2015,Georgia,Gwinnett,16.047923
2015,Georgia,Habersham,33.154535
2015,Georgia,Hall,33.165144
2015,Georgia,Hancock,32.562458
2015,Georgia,Haralson,39.964434
2015,Georgia,Harris,18.327887
2015,Georgia,Hart,33.104466
2015,Georgia,Heard,36.89282
2015,Georgia,Henry,18.959614
2015,Georgia,Houston,26.453018
2015,Georgia,Irwin,41.559557
2015,Georgia,Jackson,27.358764
2015,Georgia,Jasper,30.050025
2015,Georgia,Jeff Davis,59.535093
2015,Georgia,Jefferson,44.635721
2015,Georgia,Jenkins,45.542475
2015,Georgia,Johnson,34.184451
2015,Georgia,Jones,17.401631
2015,Georgia,Lamar,20.653364
2015,Georgia,Lanier,39.519672
2015,Georgia,Laurens,40.027585
2015,Georgia,Lee,20.483397
2015,Georgia,Liberty,51.356425
2015,Georgia,Lincoln,28.178496
2015,Georgia,Long,24.616211
2015,Georgia,Lowndes,27.184707
2015,Georgia,Lumpkin,14.638411
2015,Georgia,McDuffie,40.384897
2015,Georgia,McIntosh,38.115961
2015,Georgia,Macon,39.946069
2015,Georgia,Madison,34.073121
2015,Georgia,Marion,42.758253
2015,Georgia,Meriwether,37.352593
2015,Georgia,Miller,36.260991
2015,Georgia,Mitchell,47.432246
2015,Georgia,Monroe,21.522566
2015,Georgia,Montgomery,33.967433
2015,Georgia,Morgan,27.574586
2015,Georgia,Murray,43.614124
2015,Georgia,Muscogee,42.887211
2015,Georgia,Newton,27.571271
2015,Georgia,Oconee,8.080008
2015,Georgia,Oglethorpe,29.87701
2015,Georgia,Paulding,15.956695
2015,Georgia,Peach,24.854647
2015,Georgia,Pickens,36.146813
2015,Georgia,Pierce,50.753904
2015,Georgia,Pike,24.519819
2015,Georgia,Polk,49.706334
2015,Georgia,Pulaski,36.672014
2015,Georgia,Putnam,34.69393
2015,Georgia,Quitman,57.774437
2015,Georgia,Rabun,30.218802
2015,Georgia,Randolph,35.74729
2015,Georgia,Richmond,38.292004
2015,Georgia,Rockdale,21.484608
2015,Georgia,Schley,29.703885
2015,Georgia,Screven,44.337079
2015,Georgia,Seminole,53.354849
2015,Georgia,Spalding,45.247438
2015,Georgia,Stephens,36.090206
2015,Georgia,Stewart,54.165092
2015,Georgia,Sumter,38.330752
2015,Georgia,Talbot,38.658454
2015,Georgia,Taliaferro,45.9149
2015,Georgia,Tattnall,46.666052
2015,Georgia,Taylor,36.169193
2015,Georgia,Telfair,43.449084
2015,Georgia,Terrell,54.387603
2015,Georgia,Thomas,43.158844
2015,Georgia,Tift,41.663223
2015,Georgia,Toombs,53.726832
2015,Georgia,Towns,16.638533
2015,Georgia,Treutlen,41.959786
2015,Georgia,Troup,40.867464
2015,Georgia,Turner,51.517713
2015,Georgia,Twiggs,28.978576
2015,Georgia,Union,27.108865
2015,Georgia,Upson,47.835673
2015,Georgia,Walker,41.028907
2015,Georgia,Walton,25.991844
2015,Georgia,Ware,64.217898
2015,Georgia,Warren,33.695997
2015,Georgia,Washington,46.193257
2015,Georgia,Wayne,48.969345
2015,Georgia,Webster,27.601106
2015,Georgia,Wheeler,52.910805
2015,Georgia,White,23.064142
2015,Georgia,Whitfield,40.572235
2015,Georgia,Wilcox,47.50751
2015,Georgia,Wilkes,35.299142
2015,Georgia,Wilkinson,38.321297
2015,Georgia,Worth,34.792709
