Year,State,County,BirthRate
2015,Idaho,Ada,13.353284
2015,Idaho,Adams,17.952916
2015,Idaho,Bannock,22.278438
2015,Idaho,Bear Lake,19.122719
2015,Idaho,Benewah,35.913798
2015,Idaho,Bingham,28.35
2015,Idaho,Blaine,15.695958
2015,Idaho,Boise,10.917344
2015,Idaho,Bonner,22.719669
2015,Idaho,Bonneville,29.996823
2015,Idaho,Boundary,22.057549
2015,Idaho,Butte,16.846032
2015,Idaho,Camas,26.72653
2015,Idaho,Canyon,29.115338
2015,Idaho,Caribou,15.417842
2015,Idaho,Cassia,35.149734
2015,Idaho,Clark,23.033537
2015,Idaho,Clearwater,25.839434
2015,Idaho,Custer,15.429113
2015,Idaho,Elmore,29.185101
2015,Idaho,Franklin,18.626688
2015,Idaho,Fremont,23.056054
2015,Idaho,Gem,24.817749
2015,Idaho,Gooding,32.704008
2015,Idaho,Idaho,19.956698
2015,Idaho,Jefferson,18.417823
2015,Idaho,Jerome,42.52019
2015,Idaho,Kootenai,20.819332
2015,Idaho,Latah,7.09524
2015,Idaho,Lemhi,21.894669
2015,Idaho,Lewis,22.664444
2015,Idaho,Lincoln,31.395427
2015,Idaho,Madison,5.68312
2015,Idaho,Minidoka,39.231878
2015,Idaho,Nez Perce,24.732467
2015,Idaho,Oneida,17.169043
2015,Idaho,Owyhee,29.847858
2015,Idaho,Payette,31.094266
2015,Idaho,Power,41.912767
2015,Idaho,Shoshone,30.103573
2015,Idaho,Teton,19.732667
2015,Idaho,Twin Falls,30.366157
2015,Idaho,Valley,16.780806
2015,Idaho,Washington,25.144344
