Year,State,County,BirthRate
2015,Iowa,Adair,14.032483
2015,Iowa,Adams,17.334722
2015,Iowa,Allamakee,22.955853
2015,Iowa,Appanoose,28.835909
2015,Iowa,Audubon,18.214511
2015,Iowa,Benton,11.791448
2015,Iowa,Black Hawk,17.206385
2015,Iowa,Boone,16.812022
2015,Iowa,Bremer,6.823086
2015,Iowa,Buchanan,16.089735
2015,Iowa,Buena Vista,31.296925
2015,Iowa,Butler,12.162322
2015,Iowa,Calhoun,17.828352
2015,Iowa,Carroll,17.527284
2015,Iowa,Cass,21.428084
2015,Iowa,Cedar,12.349418
2015,Iowa,Cerro Gordo,17.359962
2015,Iowa,Cherokee,22.910664
2015,Iowa,Chickasaw,11.977299
2015,Iowa,Clarke,32.96053
2015,Iowa,Clay,19.082547
2015,Iowa,Clayton,13.055548
2015,Iowa,Clinton,29.273098
2015,Iowa,Crawford,25.588153
2015,Iowa,Dallas,11.641821
2015,Iowa,Davis,14.234166
2015,Iowa,Decatur,18.550216
2015,Iowa,Delaware,13.546397
2015,Iowa,Des Moines,30.902557
2015,Iowa,Dickinson,15.488564
2015,Iowa,Dubuque,15.966696
2015,Iowa,Emmet,21.868548
2015,Iowa,Fayette,17.8477
2015,Iowa,Floyd,19.262296
2015,Iowa,Franklin,23.146864
2015,Iowa,Fremont,22.974954
2015,Iowa,Greene,21.765654
2015,Iowa,Grundy,9.158409
2015,Iowa,Guthrie,15.309557
2015,Iowa,Hamilton,21.767788
2015,Iowa,Hancock,14.066986
2015,Iowa,Hardin,18.374007
2015,Iowa,Harrison,16.394615
2015,Iowa,Henry,19.474877
2015,Iowa,Howard,14.361293
2015,Iowa,Humboldt,16.133326
2015,Iowa,Ida,17.819984
2015,Iowa,Iowa,11.974242
2015,Iowa,Jackson,16.735514
2015,Iowa,Jasper,21.209167
2015,Iowa,Jefferson,17.102456
2015,Iowa,Johnson,6.861342
2015,Iowa,Jones,14.88274
2015,Iowa,Keokuk,18.319625
2015,Iowa,Kossuth,11.759372
2015,Iowa,Lee,32.611224
2015,Iowa,Linn,15.330037
2015,Iowa,Louisa,23.488973
2015,Iowa,Lucas,22.62472
2015,Iowa,Lyon,12.544253
2015,Iowa,Madison,15.87974
2015,Iowa,Mahaska,20.165315
2015,Iowa,Marion,12.675445
2015,Iowa,Marshall,36.448364
2015,Iowa,Mills,18.005893
2015,Iowa,Mitchell,10.097561
2015,Iowa,Monona,17.262928
2015,Iowa,Monroe,25.617741
2015,Iowa,Montgomery,28.386097
2015,Iowa,Muscatine,29.204762
2015,Iowa,O'Brien,18.156982
2015,Iowa,Osceola,19.016034
2015,Iowa,Page,25.200695
2015,Iowa,Palo Alto,12.220985
2015,Iowa,Plymouth,12.767541
2015,Iowa,Pocahontas,16.944318
2015,Iowa,Polk,21.181467
2015,Iowa,Pottawattamie,26.243787
2015,Iowa,Poweshiek,10.78484
2015,Iowa,Ringgold,20.121872
2015,Iowa,Sac,14.426762
2015,Iowa,Scott,24.347102
2015,Iowa,Shelby,12.31228
2015,Iowa,Sioux,11.675117
2015,Iowa,Story,4.453671
2015,Iowa,Tama,24.360005
2015,Iowa,Taylor,21.482885
2015,Iowa,Union,21.323232
2015,Iowa,Van Buren,16.091645
2015,Iowa,Wapello,31.582791
2015,Iowa,Warren,13.619427
2015,Iowa,Washington,19.821454
2015,Iowa,Wayne,22.97045
2015,Iowa,Webster,23.73056
2015,Iowa,Winnebago,15.332448
2015,Iowa,Winneshiek,5.525477
2015,Iowa,Woodbury,29.681851
2015,Iowa,Worth,15.062338
2015,Iowa,Wright,26.224259
