Year,State,County,BirthRate
2015,Kansas,Allen,27.441004
2015,Kansas,Anderson,25.610876
2015,Kansas,Atchison,22.249645
2015,Kansas,Barber,27.478949
2015,Kansas,Barton,31.232798
2015,Kansas,Bourbon,39.945964
2015,Kansas,Brown,34.053426
2015,Kansas,Butler,17.62693
2015,Kansas,Chase,20.27431
2015,Kansas,Chautauqua,25.750133
2015,Kansas,Cherokee,38.443872
2015,Kansas,Cheyenne,14.55241
2015,Kansas,Clark,18.860751
2015,Kansas,Clay,22.699981
2015,Kansas,Cloud,24.45839
2015,Kansas,Coffey,16.147884
2015,Kansas,Comanche,17.059001
2015,Kansas,Cowley,31.475794
2015,Kansas,Crawford,26.424594
2015,Kansas,Decatur,20.63892
2015,Kansas,Dickinson,21.282633
2015,Kansas,Doniphan,12.952161
2015,Kansas,Douglas,8.765717
2015,Kansas,Edwards,26.827365
2015,Kansas,Elk,27.670622
2015,Kansas,Ellis,17.408348
2015,Kansas,Ellsworth,14.398304
2015,Kansas,Finney,49.214355
2015,Kansas,Ford,51.95632
2015,Kansas,Franklin,27.473814
2015,Kansas,Geary,54.677879
2015,Kansas,Gove,10.378689
2015,Kansas,Graham,25.776012
2015,Kansas,Grant,44.073649
2015,Kansas,Gray,19.629242
2015,Kansas,Greeley,18.221696
2015,Kansas,Greenwood,32.25701
2015,Kansas,Hamilton,41.163684
2015,Kansas,Harper,28.062705
2015,Kansas,Harvey,22.664269
2015,Kansas,Haskell,32.463774
2015,Kansas,Hodgeman,13.172919
2015,Kansas,Jackson,24.29062
2015,Kansas,Jefferson,16.160984
2015,Kansas,Jewell,17.448199
2015,Kansas,Johnson,10.374388
2015,Kansas,Kearny,34.120526
2015,Kansas,Kingman,16.914919
2015,Kansas,Kiowa,11.749961
2015,Kansas,Labette,34.943293
2015,Kansas,Lane,8.805455
2015,Kansas,Leavenworth,23.296625
2015,Kansas,Lincoln,17.021099
2015,Kansas,Linn,28.185555
2015,Kansas,Logan,13.737454
2015,Kansas,Lyon,22.302731
2015,Kansas,McPherson,18.640134
2015,Kansas,Marion,12.082042
2015,Kansas,Marshall,19.106625
2015,Kansas,Meade,25.115078
2015,Kansas,Miami,18.658464
2015,Kansas,Mitchell,15.323621
2015,Kansas,Montgomery,36.756418
2015,Kansas,Morris,24.39534
2015,Kansas,Morton,32.012172
2015,Kansas,Nemaha,14.34326
2015,Kansas,Neosho,34.582526
2015,Kansas,Ness,21.469301
2015,Kansas,Norton,20.265426
2015,Kansas,Osage,21.544053
2015,Kansas,Osborne,24.801616
2015,Kansas,Ottawa,16.224087
2015,Kansas,Pawnee,23.882557
2015,Kansas,Phillips,15.656397
2015,Kansas,Pottawatomie,14.062224
2015,Kansas,Pratt,28.592636
2015,Kansas,Rawlins,16.642786
2015,Kansas,Reno,27.40108
2015,Kansas,Republic,20.786164
2015,Kansas,Rice,20.72949
2015,Kansas,Riley,12.280086
2015,Kansas,Rooks,18.936505
2015,Kansas,Rush,17.048052
2015,Kansas,Russell,25.124958
2015,Kansas,Saline,32.312239
2015,Kansas,Scott,29.489354
2015,Kansas,Sedgwick,30.974139
2015,Kansas,Seward,57.337331
2015,Kansas,Shawnee,32.425118
2015,Kansas,Sheridan,16.563235
2015,Kansas,Sherman,31.592851
2015,Kansas,Smith,13.280638
2015,Kansas,Stafford,27.887277
2015,Kansas,Stanton,41.092723
2015,Kansas,Stevens,30.322529
2015,Kansas,Sumner,27.069607
2015,Kansas,Thomas,18.45786
2015,Kansas,Trego,15.625773
2015,Kansas,Wabaunsee,16.679829
2015,Kansas,Wallace,10.603484
2015,Kansas,Washington,10.859482
2015,Kansas,Wichita,34.383303
2015,Kansas,Wilson,32.696835
2015,Kansas,Woodson,33.013523
2015,Kansas,Wyandotte,51.2365
