Year,State,County,BirthRate
2015,Kentucky,Adair,24.615267
2015,Kentucky,Allen,32.708562
2015,Kentucky,Anderson,31.994052
2015,Kentucky,Ballard,34.110009
2015,Kentucky,Barren,43.958907
2015,Kentucky,Bath,49.52984
2015,Kentucky,Bell,51.777518
2015,Kentucky,Boone,19.175949
2015,Kentucky,Bourbon,26.120275
2015,Kentucky,Boyd,37.186804
2015,Kentucky,Boyle,26.981748
2015,Kentucky,Bracken,29.191006
2015,Kentucky,Breathitt,43.229841
2015,Kentucky,Breckinridge,25.609509
2015,Kentucky,Bullitt,22.231676
2015,Kentucky,Butler,36.461398
2015,Kentucky,Caldwell,41.088277
2015,Kentucky,Calloway,15.615088
2015,Kentucky,Campbell,23.621852
2015,Kentucky,Carlisle,29.773414
2015,Kentucky,Carroll,52.557612
2015,Kentucky,Carter,40.394405
2015,Kentucky,Casey,40.623956
2015,Kentucky,Christian,52.646139
2015,Kentucky,Clark,36.995323
2015,Kentucky,Clay,48.212874
2015,Kentucky,Clinton,41.453547
2015,Kentucky,Crittenden,36.099216
2015,Kentucky,Cumberland,35.72549
2015,Kentucky,Daviess,36.93743
2015,Kentucky,Edmonson,26.980413
2015,Kentucky,Elliott,47.235831
2015,Kentucky,Estill,41.035481
2015,Kentucky,Fayette,18.801247
2015,Kentucky,Fleming,30.298364
2015,Kentucky,Floyd,56.106635
2015,Kentucky,Franklin,31.618738
2015,Kentucky,Fulton,44.831652
2015,Kentucky,Gallatin,38.482661
2015,Kentucky,Garrard,31.953118
2015,Kentucky,Grant,39.617885
2015,Kentucky,Graves,39.337362
2015,Kentucky,Grayson,38.418798
2015,Kentucky,Green,33.536065
2015,Kentucky,Greenup,33.429805
2015,Kentucky,Hancock,39.770803
2015,Kentucky,Hardin,30.953183
2015,Kentucky,Harlan,56.944416
2015,Kentucky,Harrison,34.197152
2015,Kentucky,Hart,36.807249
2015,Kentucky,Henderson,41.724711
2015,Kentucky,Henry,33.073568
2015,Kentucky,Hickman,23.41346
2015,Kentucky,Hopkins,43.408875
2015,Kentucky,Jackson,43.603251
2015,Kentucky,Jefferson,27.563152
2015,Kentucky,Jessamine,24.065166
2015,Kentucky,Johnson,39.486108
2015,Kentucky,Kenton,27.600728
2015,Kentucky,Knott,37.045178
2015,Kentucky,Knox,51.698008
2015,Kentucky,Larue,30.523206
2015,Kentucky,Laurel,40.195234
2015,Kentucky,Lawrence,38.916626
2015,Kentucky,Lee,35.383681
2015,Kentucky,Leslie,47.487061
2015,Kentucky,Letcher,44.832816
2015,Kentucky,Lewis,39.507644
2015,Kentucky,Lincoln,39.190796
2015,Kentucky,Livingston,30.499671
2015,Kentucky,Logan,39.112857
2015,Kentucky,Lyon,25.19261
2015,Kentucky,McCracken,36.468552
2015,Kentucky,McCreary,57.650558
2015,Kentucky,McLean,35.867266
2015,Kentucky,Madison,19.971243
2015,Kentucky,Magoffin,55.951829
2015,Kentucky,Marion,32.789881
2015,Kentucky,Marshall,30.065627
2015,Kentucky,Martin,41.001788
2015,Kentucky,Mason,36.610396
2015,Kentucky,Meade,24.056493
2015,Kentucky,Menifee,40.339986
2015,Kentucky,Mercer,33.552823
2015,Kentucky,Metcalfe,46.242659
2015,Kentucky,Monroe,33.739234
2015,Kentucky,Montgomery,44.517871
2015,Kentucky,Morgan,32.261247
2015,Kentucky,Muhlenberg,39.350151
2015,Kentucky,Nelson,28.763366
2015,Kentucky,Nicholas,36.082661
2015,Kentucky,Ohio,47.094053
2015,Kentucky,Oldham,8.742923
2015,Kentucky,Owen,32.662704
2015,Kentucky,Owsley,43.779687
2015,Kentucky,Pendleton,33.872098
2015,Kentucky,Perry,49.456392
2015,Kentucky,Pike,41.065654
2015,Kentucky,Powell,53.855353
2015,Kentucky,Pulaski,40.981163
2015,Kentucky,Robertson,24.910725
2015,Kentucky,Rockcastle,34.551328
2015,Kentucky,Rowan,15.339485
2015,Kentucky,Russell,52.271369
2015,Kentucky,Scott,23.551104
2015,Kentucky,Shelby,23.698372
2015,Kentucky,Simpson,36.922991
2015,Kentucky,Spencer,18.791147
2015,Kentucky,Taylor,34.322655
2015,Kentucky,Todd,26.199673
2015,Kentucky,Trigg,34.138298
2015,Kentucky,Trimble,29.185928
2015,Kentucky,Union,38.361897
2015,Kentucky,Warren,18.530274
2015,Kentucky,Washington,24.720338
2015,Kentucky,Wayne,50.972507
2015,Kentucky,Webster,39.479187
2015,Kentucky,Whitley,52.001624
2015,Kentucky,Wolfe,53.068716
2015,Kentucky,Woodford,15.834214
