Year,State,County,BirthRate
2015,Louisiana,Acadia,47.624106
2015,Louisiana,Allen,46.285018
2015,Louisiana,Ascension,23.067461
2015,Louisiana,Assumption,27.281147
2015,Louisiana,Avoyelles,50.297877
2015,Louisiana,Beauregard,41.097331
2015,Louisiana,Bienville,38.93761
2015,Louisiana,Bossier,30.160853
2015,Louisiana,Caddo,41.602131
2015,Louisiana,Calcasieu,39.631234
2015,Louisiana,Caldwell,48.193597
2015,Louisiana,Cameron,18.21129
2015,Louisiana,Catahoula,43.464216
2015,Louisiana,Claiborne,41.9697
2015,Louisiana,Concordia,52.404223
2015,Louisiana,De Soto,35.661246
2015,Louisiana,East Baton Rouge,26.697912
2015,Louisiana,East Carroll,54.889218
2015,Louisiana,East Feliciana,29.777484
2015,Louisiana,Evangeline,51.422901
2015,Louisiana,Franklin,45.964981
2015,Louisiana,Grant,43.709447
2015,Louisiana,Iberia,43.314342
2015,Louisiana,Iberville,34.584533
2015,Louisiana,Jackson,35.753472
2015,Louisiana,Jefferson,28.849745
2015,Louisiana,Jefferson Davis,37.654075
2015,Louisiana,Lafayette,27.689839
2015,Louisiana,Lafourche,28.208635
2015,Louisiana,LaSalle,39.478781
2015,Louisiana,Lincoln,16.73489
2015,Louisiana,Livingston,30.623711
2015,Louisiana,Madison,59.189525
2015,Louisiana,Morehouse,51.129218
2015,Louisiana,Natchitoches,25.349515
2015,Louisiana,Orleans,27.170107
2015,Louisiana,Ouachita,38.427777
2015,Louisiana,Plaquemines,22.644581
2015,Louisiana,Pointe Coupee,41.992803
2015,Louisiana,Rapides,38.946203
2015,Louisiana,Red River,48.82381
2015,Louisiana,Richland,39.099675
2015,Louisiana,Sabine,39.461308
2015,Louisiana,St. Bernard,35.701101
2015,Louisiana,St. Charles,22.657341
2015,Louisiana,St. Helena,34.228402
2015,Louisiana,St. James,27.731504
2015,Louisiana,St. John the Baptist,26.765149
2015,Louisiana,St. Landry,50.925257
2015,Louisiana,St. Martin,38.241936
2015,Louisiana,St. Mary,42.155824
2015,Louisiana,St. Tammany,18.448993
2015,Louisiana,Tangipahoa,38.911229
2015,Louisiana,Tensas,46.838109
2015,Louisiana,Terrebonne,39.151788
2015,Louisiana,Union,37.894005
2015,Louisiana,Vermilion,36.114554
2015,Louisiana,Vernon,53.245556
2015,Louisiana,Washington,37.310142
2015,Louisiana,Webster,43.292226
2015,Louisiana,West Baton Rouge,28.515098
2015,Louisiana,West Carroll,38.386269
2015,Louisiana,West Feliciana,23.872144
2015,Louisiana,Winn,41.767029
