Year,State,County,BirthRate
2015,Maine,Androscoggin,22.799775
2015,Maine,Aroostook,16.648062
2015,Maine,Cumberland,8.229388
2015,Maine,Franklin,13.890231
2015,Maine,Hancock,15.258421
2015,Maine,Kennebec,15.691381
2015,Maine,Knox,18.549093
2015,Maine,Lincoln,14.4527
2015,Maine,Oxford,18.710685
2015,Maine,Penobscot,13.20492
2015,Maine,Piscataquis,19.663738
2015,Maine,Sagadahoc,17.306152
2015,Maine,Somerset,22.723397
2015,Maine,Waldo,20.458658
2015,Maine,Washington,23.647964
2015,Maine,York,13.183499
