Year,State,County,BirthRate
2015,Maryland,Allegany,22.248657
2015,Maryland,Anne Arundel,14.203708
2015,Maryland,Baltimore,14.4566
2015,Maryland,Calvert,12.161507
2015,Maryland,Caroline,27.57754
2015,Maryland,Carroll,9.150318
2015,Maryland,Cecil,20.579209
2015,Maryland,Charles,15.670657
2015,Maryland,Dorchester,40.619915
2015,Maryland,Frederick,11.174871
2015,Maryland,Garrett,25.003611
2015,Maryland,Harford,9.927321
2015,Maryland,Howard,6.839662
2015,Maryland,Kent,15.641644
2015,Maryland,Montgomery,11.719165
2015,Maryland,Prince George's,21.058097
2015,Maryland,Queen Anne's,12.970309
2015,Maryland,St. Mary's,16.576045
2015,Maryland,Somerset,23.707937
2015,Maryland,Talbot,18.074609
2015,Maryland,Washington,27.083858
2015,Maryland,Wicomico,20.845408
2015,Maryland,Worcester,20.545672
2015,Maryland,Baltimore City,36.974172
