Year,State,County,BirthRate
2015,Massachusetts,Barnstable,8.834218
2015,Massachusetts,Berkshire,12.911658
2015,Massachusetts,Bristol,13.964935
2015,Massachusetts,Dukes,6.950864
2015,Massachusetts,Essex,12.788414
2015,Massachusetts,Franklin,14.838933
2015,Massachusetts,Hampden,21.805066
2015,Massachusetts,Hampshire,2.868646
2015,Massachusetts,Middlesex,5.442613
2015,Massachusetts,Nantucket,12.518247
2015,Massachusetts,Norfolk,3.516231
2015,Massachusetts,Plymouth,9.380826
2015,Massachusetts,Suffolk,12.166442
2015,Massachusetts,Worcester,12.197706
