Year,State,County,BirthRate
2015,Michigan,Alcona,20.422568
2015,Michigan,Alger,16.656295
2015,Michigan,Allegan,20.633974
2015,Michigan,Alpena,23.172604
2015,Michigan,Antrim,21.852285
2015,Michigan,Arenac,22.479397
2015,Michigan,Baraga,21.869091
2015,Michigan,Barry,19.046431
2015,Michigan,Bay,20.864231
2015,Michigan,Benzie,19.309183
2015,Michigan,Berrien,28.790107
2015,Michigan,Branch,30.954025
2015,Michigan,Calhoun,31.850801
2015,Michigan,Cass,25.920655
2015,Michigan,Charlevoix,18.880215
2015,Michigan,Cheboygan,23.666879
2015,Michigan,Chippewa,18.181868
2015,Michigan,Clare,32.718542
2015,Michigan,Clinton,9.327022
2015,Michigan,Crawford,26.714849
2015,Michigan,Delta,19.520165
2015,Michigan,Dickinson,18.206908
2015,Michigan,Eaton,14.500479
2015,Michigan,Emmet,13.819128
2015,Michigan,Genesee,28.22128
2015,Michigan,Gladwin,22.004328
2015,Michigan,Gogebic,18.713108
2015,Michigan,Grand Traverse,15.329744
2015,Michigan,Gratiot,19.872335
2015,Michigan,Hillsdale,23.097076
2015,Michigan,Houghton,9.185814
2015,Michigan,Huron,15.846927
2015,Michigan,Ingham,15.276438
2015,Michigan,Ionia,24.770252
2015,Michigan,Iosco,28.503278
2015,Michigan,Iron,20.563415
2015,Michigan,Isabella,8.913744
2015,Michigan,Jackson,24.644887
2015,Michigan,Kalamazoo,19.830483
2015,Michigan,Kalkaska,27.209067
2015,Michigan,Kent,22.075642
2015,Michigan,Keweenaw,13.633062
2015,Michigan,Lake,34.456416
2015,Michigan,Lapeer,13.87711
2015,Michigan,Leelanau,10.814904
2015,Michigan,Lenawee,21.886629
2015,Michigan,Livingston,6.877255
2015,Michigan,Luce,26.813066
2015,Michigan,Mackinac,14.751028
2015,Michigan,Macomb,13.605351
2015,Michigan,Manistee,25.622469
2015,Michigan,Marquette,9.395632
2015,Michigan,Mason,25.781378
2015,Michigan,Mecosta,13.985135
2015,Michigan,Menominee,21.327496
2015,Michigan,Midland,13.873297
2015,Michigan,Missaukee,24.492381
2015,Michigan,Monroe,17.806641
2015,Michigan,Montcalm,26.050326
2015,Michigan,Montmorency,20.533679
2015,Michigan,Muskegon,30.18803
2015,Michigan,Newaygo,27.001522
2015,Michigan,Oakland,9.676776
2015,Michigan,Oceana,34.292647
2015,Michigan,Ogemaw,21.316889
2015,Michigan,Ontonagon,14.056877
2015,Michigan,Osceola,24.492425
2015,Michigan,Oscoda,25.161736
2015,Michigan,Otsego,21.607658
2015,Michigan,Ottawa,10.683003
2015,Michigan,Presque Isle,18.349868
2015,Michigan,Roscommon,25.446912
2015,Michigan,Saginaw,24.534085
2015,Michigan,St. Clair,21.523094
2015,Michigan,St. Joseph,34.178794
2015,Michigan,Sanilac,18.442538
2015,Michigan,Schoolcraft,23.396195
2015,Michigan,Shiawassee,19.049715
2015,Michigan,Tuscola,19.840487
2015,Michigan,Van Buren,28.268514
2015,Michigan,Washtenaw,6.578237
2015,Michigan,Wayne,27.726879
2015,Michigan,Wexford,32.956604
