Year,State,County,BirthRate
2015,Minnesota,Aitkin,16.317671
2015,Minnesota,Anoka,11.218896
2015,Minnesota,Becker,21.038639
2015,Minnesota,Beltrami,30.587356
2015,Minnesota,Benton,16.079218
2015,Minnesota,Big Stone,11.436362
2015,Minnesota,Blue Earth,7.178433
2015,Minnesota,Brown,15.02218
2015,Minnesota,Carlton,18.653783
2015,Minnesota,Carver,5.900605
2015,Minnesota,Cass,34.198284
2015,Minnesota,Chippewa,26.865968
2015,Minnesota,Chisago,11.876254
2015,Minnesota,Clay,10.049895
2015,Minnesota,Clearwater,22.059825
2015,Minnesota,Cook,11.993493
2015,Minnesota,Cottonwood,22.321708
2015,Minnesota,Crow Wing,21.990168
2015,Minnesota,Dakota,9.802382
2015,Minnesota,Dodge,13.687409
2015,Minnesota,Douglas,15.001594
2015,Minnesota,Faribault,18.176449
2015,Minnesota,Fillmore,11.848502
2015,Minnesota,Freeborn,24.221027
2015,Minnesota,Goodhue,13.831006
2015,Minnesota,Grant,13.473382
2015,Minnesota,Hennepin,14.239065
2015,Minnesota,Houston,9.951806
2015,Minnesota,Hubbard,19.988109
2015,Minnesota,Isanti,14.418445
2015,Minnesota,Itasca,21.312039
2015,Minnesota,Jackson,14.940234
2015,Minnesota,Kanabec,17.140257
2015,Minnesota,Kandiyohi,26.797562
2015,Minnesota,Kittson,8.423537
2015,Minnesota,Koochiching,15.814261
2015,Minnesota,Lac qui Parle,10.232122
2015,Minnesota,Lake,22.384611
2015,Minnesota,Lake of the Woods,14.780786
2015,Minnesota,Le Sueur,13.760607
2015,Minnesota,Lincoln,10.381957
2015,Minnesota,Lyon,15.204396
2015,Minnesota,McLeod,17.160444
2015,Minnesota,Mahnomen,52.047852
2015,Minnesota,Marshall,14.210884
2015,Minnesota,Martin,19.725398
2015,Minnesota,Meeker,16.572075
2015,Minnesota,Mille Lacs,25.667531
2015,Minnesota,Morrison,15.029869
2015,Minnesota,Mower,24.909393
2015,Minnesota,Murray,15.56679
2015,Minnesota,Nicollet,8.804613
2015,Minnesota,Nobles,36.386641
2015,Minnesota,Norman,15.378551
2015,Minnesota,Olmsted,13.794123
2015,Minnesota,Otter Tail,15.615933
2015,Minnesota,Pennington,21.248493
2015,Minnesota,Pine,24.107014
2015,Minnesota,Pipestone,17.928752
2015,Minnesota,Polk,17.664761
2015,Minnesota,Pope,10.837077
2015,Minnesota,Ramsey,19.430616
2015,Minnesota,Red Lake,16.468681
2015,Minnesota,Redwood,15.445449
2015,Minnesota,Renville,25.376257
2015,Minnesota,Rice,10.858538
2015,Minnesota,Rock,14.242401
2015,Minnesota,Roseau,18.083052
2015,Minnesota,St. Louis,13.258594
2015,Minnesota,Scott,8.332998
2015,Minnesota,Sherburne,11.616484
2015,Minnesota,Sibley,16.866521
2015,Minnesota,Stearns,10.42617
2015,Minnesota,Steele,21.793355
2015,Minnesota,Stevens,6.539455
2015,Minnesota,Swift,17.110347
2015,Minnesota,Todd,20.570652
2015,Minnesota,Traverse,11.619732
2015,Minnesota,Wabasha,14.39538
2015,Minnesota,Wadena,26.304786
2015,Minnesota,Waseca,16.439785
2015,Minnesota,Washington,7.283773
2015,Minnesota,Watonwan,33.948837
2015,Minnesota,Wilkin,9.941114
2015,Minnesota,Winona,6.558675
2015,Minnesota,Wright,11.224159
2015,Minnesota,Yellow Medicine,17.393454
