Year,State,County,BirthRate
2015,Mississippi,Adams,47.501013
2015,Mississippi,Alcorn,45.215246
2015,Mississippi,Amite,37.732903
2015,Mississippi,Attala,40.929054
2015,Mississippi,Benton,42.677331
2015,Mississippi,Bolivar,44.04128
2015,Mississippi,Calhoun,39.529513
2015,Mississippi,Carroll,30.583407
2015,Mississippi,Chickasaw,50.659681
2015,Mississippi,Choctaw,31.985372
2015,Mississippi,Claiborne,31.662445
2015,Mississippi,Clarke,35.783727
2015,Mississippi,Clay,30.261474
2015,Mississippi,Coahoma,61.266627
2015,Mississippi,Copiah,35.964951
2015,Mississippi,Covington,44.225128
2015,Mississippi,DeSoto,24.370969
2015,Mississippi,Forrest,30.631665
2015,Mississippi,Franklin,34.748243
2015,Mississippi,George,55.238469
2015,Mississippi,Greene,34.935228
2015,Mississippi,Grenada,42.230417
2015,Mississippi,Hancock,31.877036
2015,Mississippi,Harrison,34.027891
2015,Mississippi,Hinds,34.101365
2015,Mississippi,Holmes,44.610169
2015,Mississippi,Humphreys,58.390969
2015,Mississippi,Issaquena,45.805235
2015,Mississippi,Itawamba,33.675049
2015,Mississippi,Jackson,31.160709
2015,Mississippi,Jasper,38.634369
2015,Mississippi,Jefferson,51.257922
2015,Mississippi,Jefferson Davis,40.023517
2015,Mississippi,Jones,44.473976
2015,Mississippi,Kemper,22.686875
2015,Mississippi,Lafayette,10.726204
2015,Mississippi,Lamar,27.033742
2015,Mississippi,Lauderdale,35.751802
2015,Mississippi,Lawrence,44.172858
2015,Mississippi,Leake,56.12742
2015,Mississippi,Lee,39.224324
2015,Mississippi,Leflore,53.607168
2015,Mississippi,Lincoln,34.458631
2015,Mississippi,Lowndes,32.637387
2015,Mississippi,Madison,21.157163
2015,Mississippi,Marion,49.052224
2015,Mississippi,Marshall,34.670274
2015,Mississippi,Monroe,36.136881
2015,Mississippi,Montgomery,40.22262
2015,Mississippi,Neshoba,51.347369
2015,Mississippi,Newton,39.596576
2015,Mississippi,Noxubee,43.262484
2015,Mississippi,Oktibbeha,11.669191
2015,Mississippi,Panola,53.334016
2015,Mississippi,Pearl River,33.599487
2015,Mississippi,Perry,42.214872
2015,Mississippi,Pike,42.418192
2015,Mississippi,Pontotoc,44.847665
2015,Mississippi,Prentiss,41.195956
2015,Mississippi,Quitman,52.892212
2015,Mississippi,Rankin,25.157358
2015,Mississippi,Scott,59.119567
2015,Mississippi,Sharkey,56.92547
2015,Mississippi,Simpson,39.890624
2015,Mississippi,Smith,37.463462
2015,Mississippi,Stone,30.008605
2015,Mississippi,Sunflower,50.540424
2015,Mississippi,Tallahatchie,54.153202
2015,Mississippi,Tate,25.225852
2015,Mississippi,Tippah,43.290313
2015,Mississippi,Tishomingo,33.050713
2015,Mississippi,Tunica,73.842986
2015,Mississippi,Union,44.150966
2015,Mississippi,Walthall,35.314903
2015,Mississippi,Warren,49.783006
2015,Mississippi,Washington,59.980311
2015,Mississippi,Wayne,50.912687
2015,Mississippi,Webster,35.875294
2015,Mississippi,Wilkinson,50.495513
2015,Mississippi,Winston,33.492384
2015,Mississippi,Yalobusha,45.003659
2015,Mississippi,Yazoo,54.013755
