Year,State,County,BirthRate
2015,Missouri,Adair,10.602598
2015,Missouri,Andrew,23.10287
2015,Missouri,Atchison,19.089125
2015,Missouri,Audrain,34.059241
2015,Missouri,Barry,37.104199
2015,Missouri,Barton,33.395316
2015,Missouri,Bates,31.26985
2015,Missouri,Benton,30.280037
2015,Missouri,Bollinger,32.528451
2015,Missouri,Boone,11.51731
2015,Missouri,Buchanan,38.701761
2015,Missouri,Butler,45.220075
2015,Missouri,Caldwell,25.476742
2015,Missouri,Callaway,21.024476
2015,Missouri,Camden,28.188957
2015,Missouri,Cape Girardeau,20.111762
2015,Missouri,Carroll,21.9445
2015,Missouri,Carter,36.87153
2015,Missouri,Cass,19.981435
2015,Missouri,Cedar,38.518598
2015,Missouri,Chariton,23.861916
2015,Missouri,Christian,19.787567
2015,Missouri,Clark,26.995681
2015,Missouri,Clay,19.811904
2015,Missouri,Clinton,24.469147
2015,Missouri,Cole,20.457502
2015,Missouri,Cooper,23.136814
2015,Missouri,Crawford,34.104162
2015,Missouri,Dade,26.099119
2015,Missouri,Dallas,34.294889
2015,Missouri,Daviess,27.673688
2015,Missouri,DeKalb,23.955213
2015,Missouri,Dent,40.844602
2015,Missouri,Douglas,34.723619
2015,Missouri,Dunklin,56.71915
2015,Missouri,Franklin,26.930972
2015,Missouri,Gasconade,25.168053
2015,Missouri,Gentry,23.093592
2015,Missouri,Greene,24.59583
2015,Missouri,Grundy,33.884753
2015,Missouri,Harrison,33.732527
2015,Missouri,Henry,37.378435
2015,Missouri,Hickory,29.54753
2015,Missouri,Holt,25.708386
2015,Missouri,Howard,15.137934
2015,Missouri,Howell,44.804026
2015,Missouri,Iron,36.98648
2015,Missouri,Jackson,32.036171
2015,Missouri,Jasper,40.081058
2015,Missouri,Jefferson,20.313449
2015,Missouri,Johnson,15.383169
2015,Missouri,Knox,19.400174
2015,Missouri,Laclede,48.160328
2015,Missouri,Lafayette,26.648295
2015,Missouri,Lawrence,34.535185
2015,Missouri,Lewis,18.260489
2015,Missouri,Lincoln,24.591782
2015,Missouri,Linn,32.796554
2015,Missouri,Livingston,33.360868
2015,Missouri,Mcdonald,43.187198
2015,Missouri,Macon,28.514654
2015,Missouri,Madison,39.196165
2015,Missouri,Maries,21.370657
2015,Missouri,Marion,27.417187
2015,Missouri,Mercer,20.898462
2015,Missouri,Miller,38.079149
2015,Missouri,Mississippi,60.235771
2015,Missouri,Moniteau,27.227996
2015,Missouri,Monroe,20.855289
2015,Missouri,Montgomery,34.248295
2015,Missouri,Morgan,32.262769
2015,Missouri,New Madrid,44.062516
2015,Missouri,Newton,30.798621
2015,Missouri,Nodaway,7.184693
2015,Missouri,Oregon,44.006707
2015,Missouri,Osage,15.153113
2015,Missouri,Ozark,30.101714
2015,Missouri,Pemiscot,62.309648
2015,Missouri,Perry,27.633409
2015,Missouri,Pettis,36.915852
2015,Missouri,Phelps,25.093394
2015,Missouri,Pike,27.358572
2015,Missouri,Platte,14.548106
2015,Missouri,Polk,20.993447
2015,Missouri,Pulaski,24.281283
2015,Missouri,Putnam,28.441079
2015,Missouri,Ralls,21.238511
2015,Missouri,Randolph,32.040635
2015,Missouri,Ray,26.813483
2015,Missouri,Reynolds,31.456838
2015,Missouri,Ripley,47.394893
2015,Missouri,St. Charles,10.708049
2015,Missouri,St. Clair,30.458073
2015,Missouri,Ste. Genevieve,18.360971
2015,Missouri,St. Francois,36.543114
2015,Missouri,St. Louis,14.42424
2015,Missouri,Saline,28.269033
2015,Missouri,Schuyler,19.916354
2015,Missouri,Scotland,12.537058
2015,Missouri,Scott,45.791289
2015,Missouri,Shannon,38.484796
2015,Missouri,Shelby,15.611783
2015,Missouri,Stoddard,39.969867
2015,Missouri,Stone,28.589087
2015,Missouri,Sullivan,45.972906
2015,Missouri,Taney,30.939587
2015,Missouri,Texas,38.283304
2015,Missouri,Vernon,28.98262
2015,Missouri,Warren,25.328862
2015,Missouri,Washington,43.27565
2015,Missouri,Wayne,42.790759
2015,Missouri,Webster,32.484899
2015,Missouri,Worth,18.055763
2015,Missouri,Wright,45.446084
2015,Missouri,St Louis City,36.35058
