Year,State,County,BirthRate
2015,Montana,Beaverhead,12.96746
2015,Montana,Big Horn,76.048029
2015,Montana,Blaine,43.685259
2015,Montana,Broadwater,16.989135
2015,Montana,Carbon,10.30251
2015,Montana,Carter,10.425793
2015,Montana,Cascade,30.45033
2015,Montana,Chouteau,6.133442
2015,Montana,Custer,28.415107
2015,Montana,Daniels,10.27985
2015,Montana,Dawson,23.965927
2015,Montana,Deer Lodge,19.216087
2015,Montana,Fallon,24.643247
2015,Montana,Fergus,13.305716
2015,Montana,Flathead,22.098102
2015,Montana,Gallatin,9.102324
2015,Montana,Garfield,12.714289
2015,Montana,Glacier,51.802357
2015,Montana,Golden Valley,14.224441
2015,Montana,Granite,16.912033
2015,Montana,Hill,49.369112
2015,Montana,Jefferson,11.879338
2015,Montana,Judith Basin,7.479817
2015,Montana,Lake,33.023785
2015,Montana,Lewis and Clark,22.839049
2015,Montana,Liberty,6.365336
2015,Montana,Lincoln,21.243731
2015,Montana,McCone,12.043844
2015,Montana,Madison,10.947649
2015,Montana,Meagher,12.792844
2015,Montana,Mineral,26.494768
2015,Montana,Missoula,13.410449
2015,Montana,Musselshell,21.123935
2015,Montana,Park,13.201172
2015,Montana,Petroleum,10.506384
2015,Montana,Phillips,20.610425
2015,Montana,Pondera,19.944629
2015,Montana,Powder River,9.15352
2015,Montana,Powell,23.157268
2015,Montana,Prairie,15.154997
2015,Montana,Ravalli,16.505341
2015,Montana,Richland,30.057833
2015,Montana,Roosevelt,76.866175
2015,Montana,Rosebud,46.194566
2015,Montana,Sanders,18.943473
2015,Montana,Sheridan,13.39
2015,Montana,Silver Bow,26.805176
2015,Montana,Stillwater,10.329206
2015,Montana,Sweet Grass,10.141767
2015,Montana,Teton,10.302617
2015,Montana,Toole,17.120549
2015,Montana,Treasure,19.11914
2015,Montana,Valley,19.101527
2015,Montana,Wheatland,13.367533
2015,Montana,Wibaux,16.251882
2015,Montana,Yellowstone,24.37079
