Year,State,County,BirthRate
2015,Nebraska,Adams,22.217602
2015,Nebraska,Antelope,9.41967
2015,Nebraska,Arthur,10.45945
2015,Nebraska,Banner,15.423474
2015,Nebraska,Blaine,10.089998
2015,Nebraska,Boone,10.606724
2015,Nebraska,Box Butte,29.928858
2015,Nebraska,Boyd,7.870063
2015,Nebraska,Brown,10.024316
2015,Nebraska,Buffalo,16.565651
2015,Nebraska,Burt,13.855877
2015,Nebraska,Butler,9.905263
2015,Nebraska,Cass,14.514551
2015,Nebraska,Cedar,8.60891
2015,Nebraska,Chase,23.909594
2015,Nebraska,Cherry,25.346964
2015,Nebraska,Cheyenne,22.227336
2015,Nebraska,Clay,23.400193
2015,Nebraska,Colfax,38.445299
2015,Nebraska,Cuming,14.302451
2015,Nebraska,Custer,17.344048
2015,Nebraska,Dakota,35.762618
2015,Nebraska,Dawes,10.802343
2015,Nebraska,Dawson,40.985279
2015,Nebraska,Deuel,18.601114
2015,Nebraska,Dixon,17.09488
2015,Nebraska,Dodge,25.078799
2015,Nebraska,Douglas,23.399396
2015,Nebraska,Dundy,17.209255
2015,Nebraska,Fillmore,12.400632
2015,Nebraska,Franklin,11.309547
2015,Nebraska,Frontier,10.216912
2015,Nebraska,Furnas,18.713036
2015,Nebraska,Gage,19.550225
2015,Nebraska,Garden,14.342358
2015,Nebraska,Garfield,8.775533
2015,Nebraska,Gosper,13.573995
2015,Nebraska,Grant,12.507732
2015,Nebraska,Greeley,12.434086
2015,Nebraska,Hall,39.721621
2015,Nebraska,Hamilton,13.319111
2015,Nebraska,Harlan,16.886151
2015,Nebraska,Hayes,12.576887
2015,Nebraska,Hitchcock,20.78682
2015,Nebraska,Holt,12.219758
2015,Nebraska,Hooker,10.764813
2015,Nebraska,Howard,12.708515
2015,Nebraska,Jefferson,20.368879
2015,Nebraska,Johnson,16.621541
2015,Nebraska,Kearney,14.947941
2015,Nebraska,Keith,22.623895
2015,Nebraska,Keya Paha,12.804348
2015,Nebraska,Kimball,25.961084
2015,Nebraska,Knox,16.730659
2015,Nebraska,Lancaster,15.835507
2015,Nebraska,Lincoln,23.562382
2015,Nebraska,Logan,15.51241
2015,Nebraska,Loup,13.239869
2015,Nebraska,McPherson,13.185122
2015,Nebraska,Madison,27.209114
2015,Nebraska,Merrick,17.090417
2015,Nebraska,Morrill,22.139483
2015,Nebraska,Nance,12.681781
2015,Nebraska,Nemaha,12.032902
2015,Nebraska,Nuckolls,19.310686
2015,Nebraska,Otoe,20.749942
2015,Nebraska,Pawnee,11.807748
2015,Nebraska,Perkins,13.697852
2015,Nebraska,Phelps,15.826771
2015,Nebraska,Pierce,11.789342
2015,Nebraska,Platte,27.124788
2015,Nebraska,Polk,11.957022
2015,Nebraska,Red Willow,20.889301
2015,Nebraska,Richardson,19.156838
2015,Nebraska,Rock,14.18287
2015,Nebraska,Saline,17.928395
2015,Nebraska,Sarpy,14.535085
2015,Nebraska,Saunders,9.424823
2015,Nebraska,Scotts Bluff,38.62181
2015,Nebraska,Seward,8.402403
2015,Nebraska,Sheridan,20.201697
2015,Nebraska,Sherman,15.863174
2015,Nebraska,Sioux,11.357163
2015,Nebraska,Stanton,15.16042
2015,Nebraska,Thayer,15.495384
2015,Nebraska,Thomas,17.338036
2015,Nebraska,Thurston,66.609944
2015,Nebraska,Valley,13.487358
2015,Nebraska,Washington,8.929491
2015,Nebraska,Wayne,5.747059
2015,Nebraska,Webster,14.676022
2015,Nebraska,Wheeler,8.283985
2015,Nebraska,York,21.823012
