Year,State,County,BirthRate
2015,New Jersey,Atlantic,17.163115
2015,New Jersey,Bergen,4.168024
2015,New Jersey,Burlington,10.570996
2015,New Jersey,Camden,21.969991
2015,New Jersey,Cape May,22.888476
2015,New Jersey,Cumberland,36.381575
2015,New Jersey,Essex,19.810061
2015,New Jersey,Gloucester,9.426776
2015,New Jersey,Hudson,20.580697
2015,New Jersey,Hunterdon,3.070015
2015,New Jersey,Mercer,14.074564
2015,New Jersey,Middlesex,9.866308
2015,New Jersey,Monmouth,6.64385
2015,New Jersey,Morris,3.943639
2015,New Jersey,Ocean,11.080426
2015,New Jersey,Passaic,23.063548
2015,New Jersey,Salem,23.56606
2015,New Jersey,Somerset,6.193477
2015,New Jersey,Sussex,6.091478
2015,New Jersey,Union,14.374888
2015,New Jersey,Warren,10.068864
