Year,State,County,BirthRate
2015,New Mexico,Bernalillo,26.874771
2015,New Mexico,Catron,19.505901
2015,New Mexico,Chaves,47.136648
2015,New Mexico,Cibola,47.283688
2015,New Mexico,Colfax,38.968231
2015,New Mexico,Curry,55.520429
2015,New Mexico,De Baca,29.541224
2015,New Mexico,Dona Ana,36.306581
2015,New Mexico,Eddy,61.125724
2015,New Mexico,Grant,38.323056
2015,New Mexico,Guadalupe,31.683369
2015,New Mexico,Harding,17.889383
2015,New Mexico,Hidalgo,36.042504
2015,New Mexico,Lea,64.397593
2015,New Mexico,Lincoln,37.730536
2015,New Mexico,Los Alamos,5.96369
2015,New Mexico,Luna,74.021623
2015,New Mexico,McKinley,40.549609
2015,New Mexico,Mora,23.781409
2015,New Mexico,Otero,49.598619
2015,New Mexico,Quay,53.405478
2015,New Mexico,Rio Arriba,38.85395
2015,New Mexico,Roosevelt,38.962847
2015,New Mexico,Sandoval,20.500988
2015,New Mexico,San Juan,41.859394
2015,New Mexico,San Miguel,30.677953
2015,New Mexico,Santa Fe,25.6507
2015,New Mexico,Sierra,46.283707
2015,New Mexico,Socorro,39.911654
2015,New Mexico,Taos,29.952092
2015,New Mexico,Torrance,32.921333
2015,New Mexico,Union,33.266259
2015,New Mexico,Valencia,28.619117
