Year,State,County,BirthRate
2015,New York,Albany,10.581581
2015,New York,Allegany,13.885153
2015,New York,Bronx,25.850072
2015,New York,Broome,14.452483
2015,New York,Cattaraugus,23.184019
2015,New York,Cayuga,17.697754
2015,New York,Chautauqua,23.503992
2015,New York,Chemung,26.561219
2015,New York,Chenango,22.229814
2015,New York,Clinton,12.45968
2015,New York,Columbia,13.430727
2015,New York,Cortland,12.220605
2015,New York,Delaware,11.743731
2015,New York,Dutchess,8.278937
2015,New York,Erie,18.030403
2015,New York,Essex,14.474283
2015,New York,Franklin,19.821188
2015,New York,Fulton,23.012996
2015,New York,Genesee,13.40635
2015,New York,Greene,13.414963
2015,New York,Hamilton,11.39105
2015,New York,Herkimer,18.904642
2015,New York,Jefferson,31.013673
2015,New York,Kings,18.115977
2015,New York,Lewis,18.010738
2015,New York,Livingston,7.307623
2015,New York,Madison,10.679519
2015,New York,Monroe,15.972766
2015,New York,Montgomery,29.218429
2015,New York,Nassau,6.664485
2015,New York,New York,10.868131
2015,New York,Niagara,18.854544
2015,New York,Oneida,23.484258
2015,New York,Onondaga,16.217174
2015,New York,Ontario,11.027746
2015,New York,Orange,14.420824
2015,New York,Orleans,21.801325
2015,New York,Oswego,20.311382
2015,New York,Otsego,6.718872
2015,New York,Putnam,3.715456
2015,New York,Queens,14.339685
2015,New York,Rensselaer,14.747847
2015,New York,Richmond,11.602673
2015,New York,Rockland,10.860256
2015,New York,St. Lawrence,14.567882
2015,New York,Saratoga,8.501503
2015,New York,Schenectady,21.056655
2015,New York,Schoharie,10.081204
2015,New York,Schuyler,20.769608
2015,New York,Seneca,15.110577
2015,New York,Steuben,20.779047
2015,New York,Suffolk,10.400458
2015,New York,Sullivan,18.643901
2015,New York,Tioga,20.06694
2015,New York,Tompkins,4.904921
2015,New York,Ulster,10.653041
2015,New York,Warren,15.940594
2015,New York,Washington,22.371486
2015,New York,Wayne,17.592882
2015,New York,Westchester,8.235314
2015,New York,Wyoming,11.14237
2015,New York,Yates,11.351594
