Year,State,County,BirthRate
2015,North Carolina,Alamance,22.455586
2015,North Carolina,Alexander,28.638301
2015,North Carolina,Alleghany,34.080899
2015,North Carolina,Anson,37.809048
2015,North Carolina,Ashe,33.531052
2015,North Carolina,Avery,19.22596
2015,North Carolina,Beaufort,32.787409
2015,North Carolina,Bertie,37.205472
2015,North Carolina,Bladen,35.170442
2015,North Carolina,Brunswick,29.406043
2015,North Carolina,Buncombe,20.158348
2015,North Carolina,Burke,33.478783
2015,North Carolina,Cabarrus,22.586949
2015,North Carolina,Caldwell,36.173153
2015,North Carolina,Camden,16.267352
2015,North Carolina,Carteret,22.288189
2015,North Carolina,Caswell,26.667622
2015,North Carolina,Catawba,27.738288
2015,North Carolina,Chatham,22.084958
2015,North Carolina,Cherokee,31.34409
2015,North Carolina,Chowan,33.289367
2015,North Carolina,Clay,25.754639
2015,North Carolina,Cleveland,32.552066
2015,North Carolina,Columbus,40.820595
2015,North Carolina,Craven,37.900652
2015,North Carolina,Cumberland,31.586167
2015,North Carolina,Currituck,21.1531
2015,North Carolina,Dare,19.036822
2015,North Carolina,Davidson,28.420687
2015,North Carolina,Davie,23.295565
2015,North Carolina,Duplin,37.805705
2015,North Carolina,Durham,23.169562
2015,North Carolina,Edgecombe,45.541683
2015,North Carolina,Forsyth,23.215236
2015,North Carolina,Franklin,24.625707
2015,North Carolina,Gaston,28.546915
2015,North Carolina,Gates,26.253018
2015,North Carolina,Graham,42.887236
2015,North Carolina,Granville,23.488757
2015,North Carolina,Greene,39.062448
2015,North Carolina,Guilford,17.91333
2015,North Carolina,Halifax,42.21143
2015,North Carolina,Harnett,26.641747
2015,North Carolina,Haywood,31.088027
2015,North Carolina,Henderson,27.759996
2015,North Carolina,Hertford,32.176772
2015,North Carolina,Hoke,34.456272
2015,North Carolina,Hyde,33.541165
2015,North Carolina,Iredell,22.32882
2015,North Carolina,Jackson,19.322901
2015,North Carolina,Johnston,25.772078
2015,North Carolina,Jones,30.306575
2015,North Carolina,Lee,36.143135
2015,North Carolina,Lenoir,37.19239
2015,North Carolina,Lincoln,22.785592
2015,North Carolina,McDowell,37.0445
2015,North Carolina,Macon,32.588263
2015,North Carolina,Madison,22.93013
2015,North Carolina,Martin,35.271088
2015,North Carolina,Mecklenburg,19.975047
2015,North Carolina,Mitchell,33.295424
2015,North Carolina,Montgomery,48.701926
2015,North Carolina,Moore,24.375365
2015,North Carolina,Nash,30.653652
2015,North Carolina,New Hanover,15.307691
2015,North Carolina,Northampton,36.604846
2015,North Carolina,Onslow,49.672706
2015,North Carolina,Orange,5.423138
2015,North Carolina,Pamlico,31.556433
2015,North Carolina,Pasquotank,22.925013
2015,North Carolina,Pender,24.418723
2015,North Carolina,Perquimans,28.757284
2015,North Carolina,Person,33.939388
2015,North Carolina,Pitt,18.739934
2015,North Carolina,Polk,22.315325
2015,North Carolina,Randolph,32.759727
2015,North Carolina,Richmond,42.082705
2015,North Carolina,Robeson,43.715985
2015,North Carolina,Rockingham,29.686123
2015,North Carolina,Rowan,32.373388
2015,North Carolina,Rutherford,35.654823
2015,North Carolina,Sampson,42.446162
2015,North Carolina,Scotland,46.873181
2015,North Carolina,Stanly,28.587637
2015,North Carolina,Stokes,20.370716
2015,North Carolina,Surry,31.812065
2015,North Carolina,Swain,52.173585
2015,North Carolina,Transylvania,23.490742
2015,North Carolina,Tyrrell,33.160507
2015,North Carolina,Union,14.218121
2015,North Carolina,Vance,47.836383
2015,North Carolina,Wake,12.932123
2015,North Carolina,Warren,36.022339
2015,North Carolina,Washington,36.492469
2015,North Carolina,Watauga,5.94125
2015,North Carolina,Wayne,34.922388
2015,North Carolina,Wilkes,39.596333
2015,North Carolina,Wilson,34.088768
2015,North Carolina,Yadkin,26.937948
2015,North Carolina,Yancey,32.030687
