Year,State,County,BirthRate
2015,North Dakota,Adams,17.150185
2015,North Dakota,Barnes,11.938396
2015,North Dakota,Benson,67.378826
2015,North Dakota,Billings,14.873763
2015,North Dakota,Bottineau,11.736577
2015,North Dakota,Bowman,17.981381
2015,North Dakota,Burke,14.913332
2015,North Dakota,Burleigh,18.378133
2015,North Dakota,Cass,13.408041
2015,North Dakota,Cavalier,11.948121
2015,North Dakota,Dickey,10.514641
2015,North Dakota,Divide,15.196124
2015,North Dakota,Dunn,14.190419
2015,North Dakota,Eddy,12.906982
2015,North Dakota,Emmons,6.970573
2015,North Dakota,Foster,14.2564
2015,North Dakota,Golden Valley,16.687268
2015,North Dakota,Grand Forks,12.268137
2015,North Dakota,Grant,8.861982
2015,North Dakota,Griggs,11.708075
2015,North Dakota,Hettinger,9.467952
2015,North Dakota,Kidder,13.439764
2015,North Dakota,LaMoure,8.428866
2015,North Dakota,Logan,6.72113
2015,North Dakota,McHenry,14.070612
2015,North Dakota,McIntosh,11.417839
2015,North Dakota,McKenzie,24.640664
2015,North Dakota,McLean,13.787216
2015,North Dakota,Mercer,11.127148
2015,North Dakota,Morton,22.256233
2015,North Dakota,Mountrail,46.054045
2015,North Dakota,Nelson,12.574977
2015,North Dakota,Oliver,15.029483
2015,North Dakota,Pembina,12.375217
2015,North Dakota,Pierce,14.275321
2015,North Dakota,Ramsey,30.4744
2015,North Dakota,Ransom,14.504998
2015,North Dakota,Renville,16.35435
2015,North Dakota,Richland,13.051647
2015,North Dakota,Rolette,61.90644
2015,North Dakota,Sargent,8.817272
2015,North Dakota,Sheridan,13.648572
2015,North Dakota,Sioux,65.268305
2015,North Dakota,Slope,10.16422
2015,North Dakota,Stark,20.983389
2015,North Dakota,Steele,9.843278
2015,North Dakota,Stutsman,16.036417
2015,North Dakota,Towner,14.362281
2015,North Dakota,Traill,10.283974
2015,North Dakota,Walsh,26.312686
2015,North Dakota,Ward,24.318986
2015,North Dakota,Wells,15.024373
2015,North Dakota,Williams,36.003195
