Year,State,County,BirthRate
2015,Ohio,Adams,36.154473
2015,Ohio,Allen,26.792596
2015,Ohio,Ashland,17.207385
2015,Ohio,Ashtabula,30.707302
2015,Ohio,Athens,7.856623
2015,Ohio,Auglaize,22.327555
2015,Ohio,Belmont,28.139152
2015,Ohio,Brown,30.279481
2015,Ohio,Butler,18.200443
2015,Ohio,Carroll,20.315622
2015,Ohio,Champaign,26.564481
2015,Ohio,Clark,30.703939
2015,Ohio,Clermont,22.565271
2015,Ohio,Clinton,30.347265
2015,Ohio,Columbiana,29.156659
2015,Ohio,Coshocton,26.676724
2015,Ohio,Crawford,34.292255
2015,Ohio,Cuyahoga,25.689377
2015,Ohio,Darke,23.384475
2015,Ohio,Defiance,22.710919
2015,Ohio,Delaware,7.174129
2015,Ohio,Erie,24.452882
2015,Ohio,Fairfield,18.763248
2015,Ohio,Fayette,39.502022
2015,Ohio,Franklin,24.474378
2015,Ohio,Fulton,17.759448
2015,Ohio,Gallia,30.153748
2015,Ohio,Geauga,6.365719
2015,Ohio,Greene,13.275481
2015,Ohio,Guernsey,30.688459
2015,Ohio,Hamilton,25.203581
2015,Ohio,Hancock,19.291729
2015,Ohio,Hardin,22.372138
2015,Ohio,Harrison,33.414917
2015,Ohio,Henry,16.613094
2015,Ohio,Highland,35.706979
2015,Ohio,Hocking,28.90118
2015,Ohio,Holmes,10.258517
2015,Ohio,Huron,24.814098
2015,Ohio,Jackson,40.843384
2015,Ohio,Jefferson,23.561703
2015,Ohio,Knox,18.411355
2015,Ohio,Lake,14.140782
2015,Ohio,Lawrence,38.215739
2015,Ohio,Licking,19.805642
2015,Ohio,Logan,29.910984
2015,Ohio,Lorain,24.109262
2015,Ohio,Lucas,29.76108
2015,Ohio,Madison,20.440671
2015,Ohio,Mahoning,25.110217
2015,Ohio,Marion,39.956574
2015,Ohio,Medina,10.339927
2015,Ohio,Meigs,27.753281
2015,Ohio,Mercer,17.44564
2015,Ohio,Miami,25.411242
2015,Ohio,Monroe,24.123572
2015,Ohio,Montgomery,25.182077
2015,Ohio,Morgan,25.259526
2015,Ohio,Morrow,22.559974
2015,Ohio,Muskingum,31.892931
2015,Ohio,Noble,21.805068
2015,Ohio,Ottawa,17.004835
2015,Ohio,Paulding,27.206965
2015,Ohio,Perry,29.392401
2015,Ohio,Pickaway,24.371966
2015,Ohio,Pike,46.061423
2015,Ohio,Portage,9.394098
2015,Ohio,Preble,26.212584
2015,Ohio,Putnam,13.711075
2015,Ohio,Richland,37.629462
2015,Ohio,Ross,33.111184
2015,Ohio,Sandusky,28.872012
2015,Ohio,Scioto,34.729023
2015,Ohio,Seneca,24.283288
2015,Ohio,Shelby,28.415502
2015,Ohio,Stark,24.247724
2015,Ohio,Summit,19.835892
2015,Ohio,Trumbull,24.788502
2015,Ohio,Tuscarawas,26.833394
2015,Ohio,Union,14.462448
2015,Ohio,Van Wert,20.979118
2015,Ohio,Vinton,35.158347
2015,Ohio,Warren,10.924407
2015,Ohio,Washington,23.471753
2015,Ohio,Wayne,15.003067
2015,Ohio,Williams,26.933703
2015,Ohio,Wood,10.201151
2015,Ohio,Wyandot,26.299734
