Year,State,County,BirthRate
2015,Oklahoma,Adair,52.404327
2015,Oklahoma,Alfalfa,20.761827
2015,Oklahoma,Atoka,42.982307
2015,Oklahoma,Beaver,25.168685
2015,Oklahoma,Beckham,60.138462
2015,Oklahoma,Blaine,44.240574
2015,Oklahoma,Bryan,41.181884
2015,Oklahoma,Caddo,41.876304
2015,Oklahoma,Canadian,22.568515
2015,Oklahoma,Carter,53.109475
2015,Oklahoma,Cherokee,29.735497
2015,Oklahoma,Choctaw,56.166112
2015,Oklahoma,Cimarron,33.532435
2015,Oklahoma,Cleveland,16.166015
2015,Oklahoma,Coal,42.957741
2015,Oklahoma,Comanche,37.562871
2015,Oklahoma,Cotton,40.000437
2015,Oklahoma,Craig,39.237135
2015,Oklahoma,Creek,34.422636
2015,Oklahoma,Custer,38.739329
2015,Oklahoma,Delaware,39.671732
2015,Oklahoma,Dewey,30.769057
2015,Oklahoma,Ellis,32.756057
2015,Oklahoma,Garfield,42.004462
2015,Oklahoma,Garvin,45.012132
2015,Oklahoma,Grady,29.687915
2015,Oklahoma,Grant,20.447509
2015,Oklahoma,Greer,53.655285
2015,Oklahoma,Harmon,50.83841
2015,Oklahoma,Harper,32.525555
2015,Oklahoma,Haskell,45.748465
2015,Oklahoma,Hughes,44.337654
2015,Oklahoma,Jackson,46.088921
2015,Oklahoma,Jefferson,41.967024
2015,Oklahoma,Johnston,39.436442
2015,Oklahoma,Kay,50.604763
2015,Oklahoma,Kingfisher,26.444729
2015,Oklahoma,Kiowa,38.134246
2015,Oklahoma,Latimer,32.377181
2015,Oklahoma,Le Flore,45.333763
2015,Oklahoma,Lincoln,29.911518
2015,Oklahoma,Logan,15.27342
2015,Oklahoma,Love,41.71565
2015,Oklahoma,McClain,24.750038
2015,Oklahoma,McCurtain,53.927693
2015,Oklahoma,McIntosh,39.047606
2015,Oklahoma,Major,28.73076
2015,Oklahoma,Marshall,51.028033
2015,Oklahoma,Mayes,40.809726
2015,Oklahoma,Murray,37.40887
2015,Oklahoma,Muskogee,47.035379
2015,Oklahoma,Noble,29.248422
2015,Oklahoma,Nowata,28.156135
2015,Oklahoma,Okfuskee,42.833377
2015,Oklahoma,Oklahoma,38.367105
2015,Oklahoma,Okmulgee,42.329772
2015,Oklahoma,Osage,23.501458
2015,Oklahoma,Ottawa,47.815579
2015,Oklahoma,Pawnee,32.725966
2015,Oklahoma,Payne,13.570032
2015,Oklahoma,Pittsburg,44.201375
2015,Oklahoma,Pontotoc,32.976412
2015,Oklahoma,Pottawatomie,37.57024
2015,Oklahoma,Pushmataha,47.637221
2015,Oklahoma,Roger Mills,39.052315
2015,Oklahoma,Rogers,24.73642
2015,Oklahoma,Seminole,42.030841
2015,Oklahoma,Sequoyah,47.460625
2015,Oklahoma,Stephens,40.281365
2015,Oklahoma,Texas,45.876964
2015,Oklahoma,Tillman,37.83811
2015,Oklahoma,Tulsa,33.566735
2015,Oklahoma,Wagoner,22.871993
2015,Oklahoma,Washington,31.552274
2015,Oklahoma,Washita,35.792004
2015,Oklahoma,Woods,25.606932
2015,Oklahoma,Woodward,51.737145
