Year,State,County,BirthRate
2015,Oregon,Baker,23.248214
2015,Oregon,Benton,5.347994
2015,Oregon,Clackamas,10.722758
2015,Oregon,Clatsop,20.784517
2015,Oregon,Columbia,18.418006
2015,Oregon,Coos,25.038779
2015,Oregon,Crook,24.682829
2015,Oregon,Curry,18.52223
2015,Oregon,Deschutes,15.973969
2015,Oregon,Douglas,28.888329
2015,Oregon,Gilliam,15.640215
2015,Oregon,Grant,19.040154
2015,Oregon,Harney,24.493157
2015,Oregon,Hood River,22.052429
2015,Oregon,Jackson,24.490333
2015,Oregon,Jefferson,37.357527
2015,Oregon,Josephine,24.15692
2015,Oregon,Klamath,33.346778
2015,Oregon,Lake,21.440745
2015,Oregon,Lane,15.469022
2015,Oregon,Lincoln,26.966295
2015,Oregon,Linn,24.906031
2015,Oregon,Malheur,41.546215
2015,Oregon,Marion,26.752785
2015,Oregon,Morrow,27.553419
2015,Oregon,Multnomah,17.854853
2015,Oregon,Polk,13.780443
2015,Oregon,Sherman,17.143841
2015,Oregon,Tillamook,23.993456
2015,Oregon,Umatilla,33.960021
2015,Oregon,Union,17.616034
2015,Oregon,Wallowa,11.202791
2015,Oregon,Wasco,29.055717
2015,Oregon,Washington,13.316836
2015,Oregon,Wheeler,18.365751
2015,Oregon,Yamhill,16.277009
