Year,State,County,BirthRate
2015,Pennsylvania,Adams,17.836094
2015,Pennsylvania,Allegheny,12.85796
2015,Pennsylvania,Armstrong,20.879327
2015,Pennsylvania,Beaver,18.431877
2015,Pennsylvania,Bedford,19.009448
2015,Pennsylvania,Berks,21.403455
2015,Pennsylvania,Blair,22.770967
2015,Pennsylvania,Bradford,25.711047
2015,Pennsylvania,Bucks,7.070893
2015,Pennsylvania,Butler,9.805823
2015,Pennsylvania,Cambria,20.028954
2015,Pennsylvania,Cameron,23.162992
2015,Pennsylvania,Carbon,18.4103
2015,Pennsylvania,Centre,3.845817
2015,Pennsylvania,Chester,8.056163
2015,Pennsylvania,Clarion,12.67396
2015,Pennsylvania,Clearfield,20.544574
2015,Pennsylvania,Clinton,13.49801
2015,Pennsylvania,Columbia,12.024708
2015,Pennsylvania,Crawford,17.804071
2015,Pennsylvania,Cumberland,10.264051
2015,Pennsylvania,Dauphin,24.38868
2015,Pennsylvania,Delaware,11.924066
2015,Pennsylvania,Elk,20.248031
2015,Pennsylvania,Erie,22.370814
2015,Pennsylvania,Fayette,30.984469
2015,Pennsylvania,Forest,13.117357
2015,Pennsylvania,Franklin,22.126795
2015,Pennsylvania,Fulton,23.397729
2015,Pennsylvania,Greene,22.616399
2015,Pennsylvania,Huntingdon,18.198014
2015,Pennsylvania,Indiana,10.245346
2015,Pennsylvania,Jefferson,25.007101
2015,Pennsylvania,Juniata,14.362571
2015,Pennsylvania,Lackawanna,18.272753
2015,Pennsylvania,Lancaster,15.903087
2015,Pennsylvania,Lawrence,22.387234
2015,Pennsylvania,Lebanon,21.750378
2015,Pennsylvania,Lehigh,21.769595
2015,Pennsylvania,Luzerne,22.494442
2015,Pennsylvania,Lycoming,21.643002
2015,Pennsylvania,McKean,21.819138
2015,Pennsylvania,Mercer,18.338645
2015,Pennsylvania,Mifflin,23.533385
2015,Pennsylvania,Monroe,11.181893
2015,Pennsylvania,Montgomery,7.392776
2015,Pennsylvania,Montour,15.572958
2015,Pennsylvania,Northampton,12.593901
2015,Pennsylvania,Northumberland,25.765013
2015,Pennsylvania,Perry,20.995267
2015,Pennsylvania,Philadelphia,32.089788
2015,Pennsylvania,Pike,8.086988
2015,Pennsylvania,Potter,26.265104
2015,Pennsylvania,Schuylkill,19.548932
2015,Pennsylvania,Snyder,14.04419
2015,Pennsylvania,Somerset,19.717313
2015,Pennsylvania,Sullivan,14.640168
2015,Pennsylvania,Susquehanna,16.024473
2015,Pennsylvania,Tioga,17.524998
2015,Pennsylvania,Union,9.698781
2015,Pennsylvania,Venango,25.55783
2015,Pennsylvania,Warren,17.940376
2015,Pennsylvania,Washington,13.80586
2015,Pennsylvania,Wayne,11.467053
2015,Pennsylvania,Westmoreland,13.348282
2015,Pennsylvania,Wyoming,17.298574
2015,Pennsylvania,York,20.405503
