Year,State,County,BirthRate
2015,South Carolina,Abbeville,28.883215
2015,South Carolina,Aiken,32.233666
2015,South Carolina,Allendale,58.286722
2015,South Carolina,Anderson,32.792711
2015,South Carolina,Bamberg,23.082686
2015,South Carolina,Barnwell,40.078705
2015,South Carolina,Beaufort,24.952779
2015,South Carolina,Berkeley,25.308244
2015,South Carolina,Calhoun,27.423839
2015,South Carolina,Charleston,18.387171
2015,South Carolina,Cherokee,47.484838
2015,South Carolina,Chester,42.663205
2015,South Carolina,Chesterfield,37.289299
2015,South Carolina,Clarendon,31.876375
2015,South Carolina,Colleton,42.210015
2015,South Carolina,Darlington,37.407101
2015,South Carolina,Dillon,48.66299
2015,South Carolina,Dorchester,21.203131
2015,South Carolina,Edgefield,27.382186
2015,South Carolina,Fairfield,33.058979
2015,South Carolina,Florence,31.621509
2015,South Carolina,Georgetown,31.021098
2015,South Carolina,Greenville,23.018955
2015,South Carolina,Greenwood,35.995581
2015,South Carolina,Hampton,36.455343
2015,South Carolina,Horry,27.841952
2015,South Carolina,Jasper,46.208807
2015,South Carolina,Kershaw,32.59164
2015,South Carolina,Lancaster,33.973745
2015,South Carolina,Laurens,34.78443
2015,South Carolina,Lee,39.141677
2015,South Carolina,Lexington,24.049716
2015,South Carolina,McCormick,32.663004
2015,South Carolina,Marion,46.668983
2015,South Carolina,Marlboro,52.314392
2015,South Carolina,Newberry,31.420819
2015,South Carolina,Oconee,37.712125
2015,South Carolina,Orangeburg,30.444772
2015,South Carolina,Pickens,21.077445
2015,South Carolina,Richland,17.500819
2015,South Carolina,Saluda,34.618906
2015,South Carolina,Spartanburg,26.751744
2015,South Carolina,Sumter,31.750961
2015,South Carolina,Union,44.976505
2015,South Carolina,Williamsburg,28.50778
2015,South Carolina,York,22.411141
