Year,State,County,BirthRate
2015,South Dakota,Aurora,6.708317
2015,South Dakota,Beadle,41.2427
2015,South Dakota,Bennett,60.26765
2015,South Dakota,Bon Homme,10.458062
2015,South Dakota,Brookings,6.56941
2015,South Dakota,Brown,17.241972
2015,South Dakota,Brule,20.124063
2015,South Dakota,Buffalo,65.072028
2015,South Dakota,Butte,23.837373
2015,South Dakota,Campbell,8.694996
2015,South Dakota,Charles Mix,40.844063
2015,South Dakota,Clark,10.126337
2015,South Dakota,Clay,6.4461
2015,South Dakota,Codington,27.195754
2015,South Dakota,Corson,51.283789
2015,South Dakota,Custer,20.826188
2015,South Dakota,Davison,23.916467
2015,South Dakota,Day,20.101559
2015,South Dakota,Deuel,15.553009
2015,South Dakota,Dewey,65.626289
2015,South Dakota,Douglas,9.929644
2015,South Dakota,Edmunds,8.829218
2015,South Dakota,Fall River,26.342584
2015,South Dakota,Faulk,6.551277
2015,South Dakota,Grant,14.990079
2015,South Dakota,Gregory,17.025654
2015,South Dakota,Haakon,15.449739
2015,South Dakota,Hamlin,23.920458
2015,South Dakota,Hand,9.35538
2015,South Dakota,Hanson,7.207818
2015,South Dakota,Harding,6.66518
2015,South Dakota,Hughes,23.769169
2015,South Dakota,Hutchinson,9.236692
2015,South Dakota,Hyde,13.982706
2015,South Dakota,Jackson,58.404417
2015,South Dakota,Jerauld,13.457951
2015,South Dakota,Jones,14.914623
2015,South Dakota,Kingsbury,10.48061
2015,South Dakota,Lake,10.615274
2015,South Dakota,Lawrence,12.290327
2015,South Dakota,Lincoln,10.630714
2015,South Dakota,Lyman,55.058248
2015,South Dakota,McCook,12.298881
2015,South Dakota,McPherson,10.177766
2015,South Dakota,Marshall,18.715714
2015,South Dakota,Meade,18.486276
2015,South Dakota,Mellette,51.297954
2015,South Dakota,Miner,11.112822
2015,South Dakota,Minnehaha,24.994161
2015,South Dakota,Moody,19.758149
2015,South Dakota,Pennington,31.282331
2015,South Dakota,Perkins,11.875522
2015,South Dakota,Potter,14.626541
2015,South Dakota,Roberts,47.122801
2015,South Dakota,Sanborn,13.094024
2015,South Dakota,Shannon,77.897833
2015,South Dakota,Spink,12.230879
2015,South Dakota,Stanley,19.827136
2015,South Dakota,Sully,17.978215
2015,South Dakota,Todd,90.477074
2015,South Dakota,Tripp,25.545697
2015,South Dakota,Turner,9.567145
2015,South Dakota,Union,10.70732
2015,South Dakota,Walworth,26.243675
2015,South Dakota,Yankton,21.082922
2015,South Dakota,Ziebach,34.150382
