Year,State,County,BirthRate
2015,Tennessee,Anderson,31.967648
2015,Tennessee,Bedford,35.435977
2015,Tennessee,Benton,41.048262
2015,Tennessee,Bledsoe,33.286702
2015,Tennessee,Blount,25.871999
2015,Tennessee,Bradley,29.531308
2015,Tennessee,Campbell,44.968398
2015,Tennessee,Cannon,27.513225
2015,Tennessee,Carroll,29.634591
2015,Tennessee,Carter,29.191557
2015,Tennessee,Cheatham,25.324324
2015,Tennessee,Chester,21.578543
2015,Tennessee,Claiborne,33.136663
2015,Tennessee,Clay,32.050534
2015,Tennessee,Cocke,49.839735
2015,Tennessee,Coffee,40.908692
2015,Tennessee,Crockett,34.553705
2015,Tennessee,Cumberland,42.920352
2015,Tennessee,Davidson,28.272796
2015,Tennessee,Decatur,36.271839
2015,Tennessee,Dekalb,44.901747
2015,Tennessee,Dickson,31.653279
2015,Tennessee,Dyer,42.661066
2015,Tennessee,Fayette,27.083974
2015,Tennessee,Fentress,35.236423
2015,Tennessee,Franklin,25.215154
2015,Tennessee,Gibson,40.468781
2015,Tennessee,Giles,34.324291
2015,Tennessee,Grainger,41.727472
2015,Tennessee,Greene,30.454158
2015,Tennessee,Grundy,42.12597
2015,Tennessee,Hamblen,39.370397
2015,Tennessee,Hamilton,25.598134
2015,Tennessee,Hancock,39.537469
2015,Tennessee,Hardeman,38.906859
2015,Tennessee,Hardin,39.77381
2015,Tennessee,Hawkins,35.639893
2015,Tennessee,Haywood,42.130539
2015,Tennessee,Henderson,33.797168
2015,Tennessee,Henry,40.459224
2015,Tennessee,Hickman,39.046925
2015,Tennessee,Houston,35.272668
2015,Tennessee,Humphreys,28.960337
2015,Tennessee,Jackson,25.9605
2015,Tennessee,Jefferson,29.298998
2015,Tennessee,Johnson,39.041635
2015,Tennessee,Knox,20.269915
2015,Tennessee,Lake,60.498918
2015,Tennessee,Lauderdale,40.350952
2015,Tennessee,Lawrence,39.307452
2015,Tennessee,Lewis,42.129144
2015,Tennessee,Lincoln,32.540793
2015,Tennessee,Loudon,31.476687
2015,Tennessee,McMinn,35.745318
2015,Tennessee,McNairy,33.956503
2015,Tennessee,Macon,57.472859
2015,Tennessee,Madison,28.244457
2015,Tennessee,Marion,41.016292
2015,Tennessee,Marshall,34.459179
2015,Tennessee,Maury,31.148442
2015,Tennessee,Meigs,38.673472
2015,Tennessee,Monroe,43.746649
2015,Tennessee,Montgomery,29.646196
2015,Tennessee,Moore,19.6374
2015,Tennessee,Morgan,28.542175
2015,Tennessee,Obion,39.235341
2015,Tennessee,Overton,26.876114
2015,Tennessee,Perry,32.582475
2015,Tennessee,Pickett,30.49249
2015,Tennessee,Polk,37.411241
2015,Tennessee,Putnam,26.408379
2015,Tennessee,Rhea,39.729181
2015,Tennessee,Roane,27.704965
2015,Tennessee,Robertson,31.262125
2015,Tennessee,Rutherford,20.573283
2015,Tennessee,Scott,47.764896
2015,Tennessee,Sequatchie,38.416075
2015,Tennessee,Sevier,34.86109
2015,Tennessee,Shelby,38.443834
2015,Tennessee,Smith,33.828314
2015,Tennessee,Stewart,27.205643
2015,Tennessee,Sullivan,30.939277
2015,Tennessee,Sumner,25.438975
2015,Tennessee,Tipton,28.135369
2015,Tennessee,Trousdale,37.126922
2015,Tennessee,Unicoi,29.254384
2015,Tennessee,Union,43.550363
2015,Tennessee,Van Buren,39.328269
2015,Tennessee,Warren,42.133463
2015,Tennessee,Washington,21.699904
2015,Tennessee,Wayne,27.823795
2015,Tennessee,Weakley,18.858607
2015,Tennessee,White,39.606972
2015,Tennessee,Williamson,6.535958
2015,Tennessee,Wilson,22.137294
