Year,State,County,BirthRate
2015,Texas,Anderson,46.011929
2015,Texas,Andrews,63.447815
2015,Texas,Angelina,40.328516
2015,Texas,Aransas,43.711748
2015,Texas,Archer,23.759264
2015,Texas,Armstrong,32.512318
2015,Texas,Atascosa,43.908127
2015,Texas,Austin,30.448222
2015,Texas,Bailey,67.832998
2015,Texas,Bandera,20.851097
2015,Texas,Bastrop,34.876278
2015,Texas,Baylor,44.983394
2015,Texas,Bee,53.716578
2015,Texas,Bell,41.109217
2015,Texas,Bexar,32.721901
2015,Texas,Blanco,20.356154
2015,Texas,Borden,21.957265
2015,Texas,Bosque,28.711917
2015,Texas,Bowie,47.315464
2015,Texas,Brazoria,28.874586
2015,Texas,Brazos,18.521676
2015,Texas,Brewster,34.508617
2015,Texas,Briscoe,33.465548
2015,Texas,Brooks,93.807557
2015,Texas,Brown,35.844482
2015,Texas,Burleson,37.827582
2015,Texas,Burnet,32.763616
2015,Texas,Caldwell,36.17251
2015,Texas,Calhoun,51.22518
2015,Texas,Callahan,28.762053
2015,Texas,Cameron,52.36686
2015,Texas,Camp,50.477295
2015,Texas,Carson,20.097049
2015,Texas,Cass,42.115428
2015,Texas,Castro,54.689192
2015,Texas,Chambers,22.887656
2015,Texas,Cherokee,54.383147
2015,Texas,Childress,59.513899
2015,Texas,Clay,24.073484
2015,Texas,Cochran,41.299586
2015,Texas,Coke,27.437501
2015,Texas,Coleman,48.918818
2015,Texas,Collin,11.458305
2015,Texas,Collingsworth,45.88734
2015,Texas,Colorado,35.734914
2015,Texas,Comal,26.027554
2015,Texas,Comanche,45.158488
2015,Texas,Concho,41.330992
2015,Texas,Cooke,38.275999
2015,Texas,Coryell,30.920082
2015,Texas,Cottle,44.977333
2015,Texas,Crane,42.852984
2015,Texas,Crockett,62.892329
2015,Texas,Crosby,62.541061
2015,Texas,Culberson,62.668244
2015,Texas,Dallam,68.687769
2015,Texas,Dallas,39.077614
2015,Texas,Dawson,58.424454
2015,Texas,Deaf Smith,68.30024
2015,Texas,Delta,33.792166
2015,Texas,Denton,15.018211
2015,Texas,DeWitt,43.854145
2015,Texas,Dickens,45.072367
2015,Texas,Dimmit,56.994106
2015,Texas,Donley,28.0069
2015,Texas,Duval,56.790296
2015,Texas,Eastland,34.260908
2015,Texas,Ector,65.518868
2015,Texas,Edwards,46.990947
2015,Texas,Ellis,26.769174
2015,Texas,El Paso,44.901777
2015,Texas,Erath,19.117598
2015,Texas,Falls,47.650021
2015,Texas,Fannin,31.760444
2015,Texas,Fayette,24.042067
2015,Texas,Fisher,35.34524
2015,Texas,Floyd,52.805444
2015,Texas,Foard,29.140955
2015,Texas,Fort Bend,12.062847
2015,Texas,Franklin,36.537234
2015,Texas,Freestone,38.338528
2015,Texas,Frio,63.157884
2015,Texas,Gaines,47.353887
2015,Texas,Galveston,27.697024
2015,Texas,Garza,48.347113
2015,Texas,Gillespie,29.022907
2015,Texas,Glasscock,18.319159
2015,Texas,Goliad,29.189587
2015,Texas,Gonzales,54.968106
2015,Texas,Gray,58.056182
2015,Texas,Grayson,39.764961
2015,Texas,Gregg,50.87386
2015,Texas,Grimes,33.809215
2015,Texas,Guadalupe,23.589028
2015,Texas,Hale,52.838843
2015,Texas,Hall,41.728223
2015,Texas,Hamilton,30.435178
2015,Texas,Hansford,35.942333
2015,Texas,Hardeman,41.033581
2015,Texas,Hardin,37.938914
2015,Texas,Harris,35.132012
2015,Texas,Harrison,37.195698
2015,Texas,Hartley,30.546935
2015,Texas,Haskell,37.105093
2015,Texas,Hays,17.891077
2015,Texas,Hemphill,48.635526
2015,Texas,Henderson,38.977008
2015,Texas,Hidalgo,55.558772
2015,Texas,Hill,35.141313
2015,Texas,Hockley,40.664212
2015,Texas,Hood,32.732067
2015,Texas,Hopkins,39.325983
