Year,State,County,BirthRate
2015,Utah,Beaver,31.122253
2015,Utah,Box Elder,22.897372
2015,Utah,Cache,13.067481
2015,Utah,Carbon,26.463867
2015,Utah,Daggett,15.575976
2015,Utah,Davis,13.098256
2015,Utah,Duchesne,40.191175
2015,Utah,Emery,20.7333
2015,Utah,Garfield,17.965842
2015,Utah,Grand,30.241689
2015,Utah,Iron,17.935686
2015,Utah,Juab,23.965115
2015,Utah,Kane,16.529986
2015,Utah,Millard,20.849574
2015,Utah,Morgan,6.976583
2015,Utah,Piute,20.100782
2015,Utah,Rich,12.041278
2015,Utah,Salt Lake,20.88951
2015,Utah,San Juan,28.044847
2015,Utah,Sanpete,12.533003
2015,Utah,Sevier,30.710036
2015,Utah,Summit,12.484217
2015,Utah,Tooele,22.486541
2015,Utah,Uintah,30.488003
2015,Utah,Utah,11.483851
2015,Utah,Wasatch,17.988449
2015,Utah,Washington,16.961821
2015,Utah,Wayne,14.339356
2015,Utah,Weber,25.318262
