Year,State,County,BirthRate
2015,Washington,Adams,55.293984
2015,Washington,Asotin,31.404965
2015,Washington,Benton,25.846894
2015,Washington,Chelan,24.447076
2015,Washington,Clallam,22.985247
2015,Washington,Clark,17.684176
2015,Washington,Columbia,18.36354
2015,Washington,Cowlitz,29.428668
2015,Washington,Douglas,27.331609
2015,Washington,Ferry,22.964375
2015,Washington,Franklin,39.432589
2015,Washington,Garfield,14.355732
2015,Washington,Grant,37.927736
2015,Washington,Grays Harbor,26.933043
2015,Washington,Island,14.851611
2015,Washington,Jefferson,15.053457
2015,Washington,King,10.170616
2015,Washington,Kitsap,15.155771
2015,Washington,Kittitas,7.530149
2015,Washington,Klickitat,22.647138
2015,Washington,Lewis,28.992197
2015,Washington,Lincoln,17.325556
2015,Washington,Mason,30.254384
2015,Washington,Okanogan,36.530813
2015,Washington,Pacific,25.65371
2015,Washington,Pend Oreille,22.865044
2015,Washington,Pierce,19.356458
2015,Washington,San Juan,9.215308
2015,Washington,Skagit,22.816254
2015,Washington,Skamania,18.028775
2015,Washington,Snohomish,12.803471
2015,Washington,Spokane,18.023132
2015,Washington,Stevens,22.460764
2015,Washington,Thurston,16.268992
2015,Washington,Wahkiakum,19.23636
2015,Washington,Walla Walla,20.14246
2015,Washington,Whatcom,11.613632
2015,Washington,Whitman,3.326502
2015,Washington,Yakima,43.026442
