Year,State,County,BirthRate
2015,West Virginia,Barbour,26.986848
2015,West Virginia,Berkeley,29.975379
2015,West Virginia,Boone,46.644585
2015,West Virginia,Braxton,33.673786
2015,West Virginia,Brooke,17.100213
2015,West Virginia,Cabell,30.765623
2015,West Virginia,Calhoun,31.310274
2015,West Virginia,Clay,37.355782
2015,West Virginia,Doddridge,23.235626
2015,West Virginia,Fayette,46.147915
2015,West Virginia,Gilmer,15.348012
2015,West Virginia,Grant,35.377787
2015,West Virginia,Greenbrier,34.250652
2015,West Virginia,Hampshire,34.670161
2015,West Virginia,Hancock,23.314671
2015,West Virginia,Hardy,28.660669
2015,West Virginia,Harrison,31.841742
2015,West Virginia,Jackson,27.209332
2015,West Virginia,Jefferson,15.818035
2015,West Virginia,Kanawha,36.79602
2015,West Virginia,Lewis,38.577196
2015,West Virginia,Lincoln,42.925174
2015,West Virginia,Logan,46.531771
2015,West Virginia,McDowell,55.979838
2015,West Virginia,Marion,22.159873
2015,West Virginia,Marshall,27.465004
2015,West Virginia,Mason,33.437015
2015,West Virginia,Mercer,42.197455
2015,West Virginia,Mineral,23.821349
2015,West Virginia,Mingo,53.289483
2015,West Virginia,Monongalia,9.553232
2015,West Virginia,Monroe,26.121444
2015,West Virginia,Morgan,19.051856
2015,West Virginia,Nicholas,33.24102
2015,West Virginia,Ohio,23.364667
2015,West Virginia,Pendleton,21.695507
2015,West Virginia,Pleasants,28.276798
2015,West Virginia,Pocahontas,23.956847
2015,West Virginia,Preston,24.752629
2015,West Virginia,Putnam,19.564982
2015,West Virginia,Raleigh,42.484855
2015,West Virginia,Randolph,37.821685
2015,West Virginia,Ritchie,28.304565
2015,West Virginia,Roane,34.570597
2015,West Virginia,Summers,33.055985
2015,West Virginia,Taylor,26.756591
2015,West Virginia,Tucker,24.847524
2015,West Virginia,Tyler,24.310573
2015,West Virginia,Upshur,26.32927
2015,West Virginia,Wayne,29.439481
2015,West Virginia,Webster,34.811072
2015,West Virginia,Wetzel,31.79738
2015,West Virginia,Wirt,25.364073
2015,West Virginia,Wood,38.320238
2015,West Virginia,Wyoming,36.589166
