Year,State,County,BirthRate
2015,Wisconsin,Adams,26.522127
2015,Wisconsin,Ashland,19.756407
2015,Wisconsin,Barron,18.678898
2015,Wisconsin,Bayfield,14.183185
2015,Wisconsin,Brown,18.304705
2015,Wisconsin,Buffalo,11.079881
2015,Wisconsin,Burnett,19.220312
2015,Wisconsin,Calumet,9.142827
2015,Wisconsin,Chippewa,15.054524
2015,Wisconsin,Clark,13.884511
2015,Wisconsin,Columbia,14.533704
2015,Wisconsin,Crawford,14.8202
2015,Wisconsin,Dane,9.768372
2015,Wisconsin,Dodge,13.982793
2015,Wisconsin,Door,12.695063
2015,Wisconsin,Douglas,17.553436
2015,Wisconsin,Dunn,8.282159
2015,Wisconsin,Eau Claire,10.569021
2015,Wisconsin,Florence,10.554186
2015,Wisconsin,Fond du Lac,17.225387
2015,Wisconsin,Forest,27.849652
2015,Wisconsin,Grant,8.775565
2015,Wisconsin,Green,14.776477
2015,Wisconsin,Green Lake,15.33669
2015,Wisconsin,Iowa,12.123192
2015,Wisconsin,Iron,9.964317
2015,Wisconsin,Jackson,21.960997
2015,Wisconsin,Jefferson,10.330394
2015,Wisconsin,Juneau,22.839721
2015,Wisconsin,Kenosha,20.219003
2015,Wisconsin,Kewaunee,12.075008
2015,Wisconsin,La Crosse,8.887673
2015,Wisconsin,Lafayette,13.131803
2015,Wisconsin,Langlade,23.053641
2015,Wisconsin,Lincoln,23.494984
2015,Wisconsin,Manitowoc,17.678488
2015,Wisconsin,Marathon,15.52981
2015,Wisconsin,Marinette,18.057907
2015,Wisconsin,Marquette,20.572485
2015,Wisconsin,Menominee,58.527978
2015,Wisconsin,Milwaukee,30.088443
2015,Wisconsin,Monroe,20.131541
2015,Wisconsin,Oconto,12.728046
2015,Wisconsin,Oneida,16.768617
2015,Wisconsin,Outagamie,12.699824
2015,Wisconsin,Ozaukee,3.75967
2015,Wisconsin,Pepin,9.399348
2015,Wisconsin,Pierce,6.028651
2015,Wisconsin,Polk,16.084153
2015,Wisconsin,Portage,9.911827
2015,Wisconsin,Price,13.473007
2015,Wisconsin,Racine,25.339646
2015,Wisconsin,Richland,14.765718
2015,Wisconsin,Rock,24.58937
2015,Wisconsin,Rusk,19.65157
2015,Wisconsin,St. Croix,8.976864
2015,Wisconsin,Sauk,17.48492
2015,Wisconsin,Sawyer,30.885565
2015,Wisconsin,Shawano,15.842458
2015,Wisconsin,Sheboygan,16.964703
2015,Wisconsin,Taylor,12.840599
2015,Wisconsin,Trempealeau,19.611376
2015,Wisconsin,Vernon,10.191626
2015,Wisconsin,Vilas,19.070401
2015,Wisconsin,Walworth,13.154115
2015,Wisconsin,Washburn,18.875674
2015,Wisconsin,Washington,7.27043
2015,Wisconsin,Waukesha,5.625349
2015,Wisconsin,Waupaca,19.112355
2015,Wisconsin,Waushara,25.72766
2015,Wisconsin,Winnebago,12.677486
2015,Wisconsin,Wood,18.762779
