Year,State,County,BirthRate
2015,Wyoming,Albany,9.909532
2015,Wyoming,Big Horn,20.601132
2015,Wyoming,Campbell,37.45056
2015,Wyoming,Carbon,34.673931
2015,Wyoming,Converse,33.081807
2015,Wyoming,Crook,26.740242
2015,Wyoming,Fremont,44.883395
2015,Wyoming,Goshen,23.052914
2015,Wyoming,Hot Springs,21.592084
2015,Wyoming,Johnson,16.962571
2015,Wyoming,Laramie,28.943337
2015,Wyoming,Lincoln,21.353455
2015,Wyoming,Natrona,31.344021
2015,Wyoming,Niobrara,20.40283
2015,Wyoming,Park,16.092227
2015,Wyoming,Platte,21.332072
2015,Wyoming,Sheridan,20.788588
2015,Wyoming,Sublette,20.880457
2015,Wyoming,Sweetwater,32.441761
2015,Wyoming,Teton,16.039711
2015,Wyoming,Uinta,28.020381
2015,Wyoming,Washakie,24.491916
2015,Wyoming,Weston,24.503931
