countyName,income,RankINUS,RankInState
Adams,28792,567,28
Allen,31835,310,9
Bartholomew,30971,380,19
Benton,26860,797,46
Blackford,25523,1011,62
Boone,34652,212,6
Brown,29425,517,25
Carroll,28506,597,32
Cass,25963,921,55
Clark,27386,729,43
Clay,23470,1408,79
Clinton,26148,889,52
Crawford,20367,2202,92
Daviess,22801,1553,86
Dearborn,31398,341,13
"Decatur County, IN",27701,684,40
De Kalb,30970,381,20
Delaware,24436,1220,73
Dubois,31227,357,15
Elkhart,30973,379,18
Fayette,25565,1004,61
Floyd,28460,604,34
Fountain,24772,1153,68
Franklin,27734,676,38
Fulton,26141,890,53
Gibson,25985,920,54
Grant,26248,881,50
Greene,23139,1476,82
Hamilton,45748,38,1
Hancock,37333,141,3
Harrison,27238,749,45
Hendricks,39892,105,2
Henry,25668,984,60
Howard,31511,333,12
Huntington,29681,491,24
Jackson,25767,960,57
Jasper,28546,591,31
Jay,23705,1357,76
Jefferson,24820,1140,65
Jennings,24617,1181,70
Johnson,35035,207,5
Knox,21550,1888,90
Kosciusko,31666,321,10
Lagrange,27296,741,44
Lake,30439,426,21
La Porte,28469,603,33
Lawrence,25764,961,58
Madison,27435,719,42
Marion,29152,543,27
Marshall,28311,624,35
Martin,23344,1438,81
Miami,24441,1217,72
Monroe,24781,1150,66
Montgomery,28020,646,37
Morgan,32762,266,8
Newton,28624,582,30
Noble,29845,481,23
Ohio,26237,883,51
Orange,21015,2035,91
Owen,23404,1423,80
Parke,24514,1203,71
Perry,24158,1277,74
Pike,23096,1487,83
Porter,37142,144,4
Posey,31530,331,11
Pulaski,25418,1031,63
Putnam,27708,682,39
Randolph,24773,1151,67
Ripley,26608,832,49
Rush,25111,1097,64
St. Joseph,28235,632,36
Scott,21723,1838,89
Shelby,30366,431,22
Spencer,28777,570,29
Starke,22784,1560,87
Steuben,29203,536,26
Sullivan,22940,1529,84
Switzerland,23871,1323,75
Tippecanoe,27630,688,41
Tipton,31198,360,16
Union,24635,1179,69
Vanderburgh,25798,955,56
Vermillion,22339,1671,88
Vigo,23505,1399,77
Wabash,26724,813,47
Warren,25680,981,59
Warrick,34069,224,7
Washington,22897,1536,85
Wayne,23475,1407,78
Wells,31261,354,14
White,26610,831,48
Whitley,31128,365,17
