State,BirthRate,id
Alabama,33.4172819,01
Alaska,30.32827516,02
Arizona,36.30761153,04
Arkansas,39.74702084,05
California,21.88220603,06
Colorado,23.73543319,08
Connecticut,10.13471175,09
Delaware,22.666376,10
District of Columbia,26.1571,11
Florida,31.38958931,12
Georgia,36.56555253,13
Hawaii,23.743239,15
Idaho,23.88337334,16
Illinois,23.78858364,17
Indiana,26.06149358,18
Iowa,18.59397375,19
Kansas,24.50128891,20
Kentucky,36.03461449,21
Louisiana,37.43173725,22
Maine,17.151129,23
Maryland,18.95043717,24
Massachusetts,10.72748564,25
Michigan,20.93696699,26
Minnesota,16.88259474,27
Mississippi,40.75545118,28
Missouri,29.71612765,29
Montana,21.13019759,30
Nebraska,17.51756412,31
Nevada,26.793466,32
New Hampshire,12.554665,33
New Jersey,14.047468,34
New Mexico,37.67000182,35
New York,15.59127423,36
North Carolina,30.07846132,37
North Dakota,18.23193596,38
Ohio,24.48674356,39
Oklahoma,37.78921273,40
Oregon,21.92795561,41
Pennsylvania,17.82023199,42
Rhode Island,10.1849654,44
South Carolina,33.39547187,45
South Dakota,23.51204709,46
Tennessee,34.06506865,47
Texas,40.67776289,48
Utah,20.46496934,49
Vermont,14.35580136,50
Virginia,23.53300932,51
Washington,22.50637513,53
West Virginia,30.85907831,54
Wisconsin,16.38182325,55
Wyoming,25.02534152,56
