state,income,id
Alabama,34930,01
Alaska,48411,02
Arizona,38347,04
Arkansas,31853,05
California,42813,06
Colorado,40265,08
Connecticut,53313,09
Delaware,42790,10
District of Columbia,40574,11
Florida,37399,12
Georgia,40019,13
Hawaii,44988,15
Idaho,33633,16
Illinois,42609,17
Indiana,38201,18
Iowa,36736,19
Kansas,37938,20
Kentucky,34390,21
Louisiana,34406,22
Maine,38336,23
Maryland,50145,24
Massachusetts,51799,25
Michigan,42825,26
Minnesota,42365,27
Mississippi,32300,28
Missouri,38478,29
Montana,33882,30
Nebraska,37902,31
Nevada,39737,32
New Hampshire,47983,33
New Jersey,53229,34
New Mexico,31156,35
New York,43693,36
North Carolina,38068,37
North Dakota,34806,38
Ohio,41469,39
Oklahoma,34470,40
Oregon,38723,41
Pennsylvania,40404,42
Rhode Island,43278,44
South Carolina,36113,45
South Dakota,32829,46
Tennessee,34882,47
Texas,34978,48
Utah,36562,49
Vermont,40397,50
Virginia,45090,51
Washington,41728,53
West Virginia,31811,54
Wisconsin,40557,55
Wyoming,35620,56
